Project Complexity,Location Type,Environmental Risk Score,Regulatory Flags,Contractor Experience (Years),Budget (in ₹ Crores),Historical Risk Score,Risk Level
High,Urban,2.93,2,6,16.19,5.78,Medium Risk
Medium,Rural,3.76,2,13,22.53,5.57,Low Risk
Low,Suburban,2.7,3,12,16.62,3.76,Low Risk
Medium,Suburban,1.79,2,23,5.0,5.69,Low Risk
High,Coastal,9.78,3,7,16.73,2.49,Medium Risk
Medium,Rural,6.38,1,22,12.64,8.75,Low Risk
Medium,Suburban,1.36,4,16,13.25,6.29,Medium Risk
Medium,Hilly,5.95,2,13,18.64,1.75,Low Risk
Low,Suburban,8.72,2,19,18.06,3.82,Low Risk
Medium,Suburban,9.73,3,25,20.92,9.63,Medium Risk
Medium,Suburban,8.48,1,18,19.48,7.43,Low Risk
High,Suburban,7.66,3,2,12.14,4.15,Medium Risk
High,Hilly,4.52,4,18,14.44,4.44,Medium Risk
Low,Hilly,4.23,0,5,14.25,6.72,Low Risk
Medium,Coastal,6.01,0,2,17.49,1.56,Low Risk
Medium,Coastal,2.29,1,7,16.5,9.01,Low Risk
Low,Coastal,1.21,2,12,23.13,5.23,Low Risk
Medium,Rural,3.26,4,15,16.29,8.74,Medium Risk
Medium,Rural,8.87,3,18,15.12,7.53,Medium Risk
Low,Rural,5.36,3,28,10.69,2.33,Low Risk
High,Hilly,6.86,0,5,21.85,5.65,Low Risk
Low,Rural,5.77,0,29,18.87,2.21,Low Risk
Medium,Suburban,5.12,4,16,21.28,7.12,Medium Risk
Low,Hilly,9.14,4,4,12.41,4.4,Medium Risk
Low,Coastal,4.24,3,18,5.0,6.28,Low Risk
Low,Suburban,7.54,4,15,18.98,7.78,Medium Risk
Medium,Coastal,5.3,0,19,18.42,1.64,Low Risk
Low,Suburban,9.64,3,29,15.04,7.33,Low Risk
Medium,Hilly,8.08,0,29,24.65,1.58,Low Risk
Medium,Hilly,9.47,3,3,10.59,2.86,Medium Risk
Low,Hilly,9.18,4,19,17.21,4.98,Low Risk
Medium,Hilly,8.1,2,8,17.06,4.8,Medium Risk
Medium,Urban,9.95,4,26,28.08,7.06,Medium Risk
Medium,Suburban,7.07,1,22,11.23,4.48,Low Risk
Medium,Suburban,5.91,4,6,17.76,4.96,Medium Risk
Medium,Coastal,4.51,2,25,15.49,5.35,Low Risk
Medium,Hilly,7.53,4,26,13.88,3.83,Low Risk
Medium,Urban,2.25,4,28,21.97,9.18,Low Risk
Medium,Coastal,8.47,2,16,5.63,4.65,Low Risk
High,Coastal,5.26,4,25,10.62,6.78,Medium Risk
Medium,Coastal,3.58,0,5,19.55,6.49,Low Risk
Low,Rural,2.84,1,9,5.62,3.34,Low Risk
Low,Hilly,7.45,1,20,15.83,3.12,Low Risk
Medium,Rural,9.4,2,8,15.91,2.65,Low Risk
Medium,Suburban,3.21,4,6,5.0,6.44,Medium Risk
Medium,Coastal,4.35,0,11,23.99,4.91,Low Risk
Medium,Hilly,8.01,4,8,10.37,5.54,Medium Risk
Low,Suburban,1.18,0,25,16.21,3.7,Low Risk
High,Urban,5.27,3,15,15.21,9.27,Medium Risk
Medium,Rural,2.03,2,17,11.25,6.68,Low Risk
Low,Rural,2.18,3,14,7.73,5.29,Low Risk
Medium,Suburban,1.73,0,9,13.73,9.13,Low Risk
Medium,Suburban,6.85,0,12,12.69,8.8,Low Risk
Low,Hilly,8.66,2,19,11.65,4.15,Low Risk
Medium,Urban,2.68,1,2,16.6,3.94,Low Risk
Low,Coastal,1.56,1,20,12.08,1.78,Low Risk
Medium,Rural,3.91,2,8,14.86,3.08,Low Risk
Medium,Rural,9.15,4,22,11.47,1.86,Low Risk
Medium,Coastal,8.36,3,24,16.14,4.54,Low Risk
Medium,Suburban,3.51,4,28,13.76,2.42,Low Risk
Medium,Suburban,4.27,4,28,12.94,5.89,Low Risk
Medium,Urban,8.78,2,11,12.48,9.37,Medium Risk
High,Rural,1.02,0,1,13.38,6.69,Low Risk
Medium,Urban,7.62,0,9,16.1,9.29,Low Risk
Low,Rural,9.64,3,4,17.38,9.43,Medium Risk
Low,Coastal,9.6,0,11,15.94,5.38,Low Risk
Medium,Rural,1.88,0,3,14.48,7.73,Low Risk
Medium,Coastal,8.09,4,19,12.7,2.0,Low Risk
Medium,Urban,5.36,0,19,16.77,4.2,Low Risk
Low,Coastal,9.21,1,1,17.85,5.71,Low Risk
Medium,Suburban,3.52,3,2,21.11,7.32,Medium Risk
High,Urban,8.82,0,19,18.05,1.48,Low Risk
Medium,Hilly,3.99,0,2,12.75,5.93,Low Risk
High,Coastal,5.75,4,16,9.87,1.98,Medium Risk
Low,Hilly,4.34,2,1,16.37,9.56,Medium Risk
Medium,Coastal,3.99,1,15,9.02,5.07,Low Risk
Low,Coastal,1.76,0,28,8.53,2.3,Low Risk
Medium,Suburban,2.99,1,27,16.58,6.03,Low Risk
Medium,Rural,8.55,1,15,16.48,3.35,Low Risk
High,Coastal,3.98,1,20,19.29,9.16,Low Risk
