Claim Amount,Policy Age (Years),Previous Claims,Accident Severity,Vehicle Age (Years),Claim Time,"Witness Present (0=No, 1=Yes)",Repair Cost,"Fraudulent Claim (1=Yes, 0=No)"
61096.51,13,2,Medium,13,Weekday,1,29596.38,0
48461.43,3,2,High,13,Weekday,1,40244.97,0
48452.28,0,0,Medium,0,Weekend,0,19717.08,0
33271.49,6,1,Low,12,Weekday,1,27421.33,0
49903.22,13,0,Low,12,Weekday,1,25363.53,0
50081.05,18,0,Low,4,Weekday,0,39086.23,0
60731.48,15,2,Medium,11,Weekday,1,53995.74,0
48281.2,18,2,High,14,Weekday,1,38876.53,0
67061.74,2,1,High,2,Weekend,0,37292.63,0
30590.02,17,0,High,13,Weekday,0,13242.36,0
30328.96,8,2,High,7,Weekday,0,20492.95,0
54600.42,7,0,Low,6,Weekday,0,31131.5,0
21006.06,19,3,Medium,13,Weekday,1,17306.77,0
51114.05,8,1,Medium,2,Weekend,1,43866.94,0
19998.16,0,0,Medium,5,Weekend,1,11207.6,0
68779.16,14,1,Low,8,Holiday,1,65448.07,0
