Property Size (sq ft),Number of Rooms,Location Rating,Year Built,Zoning Code,Market Value (INR),Proximity to City (km),Floor Count,Property Type
2444,6,6.2,1953,C2,7401320.18,3.4,29,Commercial
7443,8,7.7,2013,C2,23503862.07,4.9,25,Commercial
1608,1,6.3,1987,I1,7615246.27,1.1,11,Industrial
8224,9,8.9,1974,C2,39135114.21,0.9,17,Commercial
5832,8,2.1,1991,C2,6675435.18,10.1,10,Commercial
6966,3,5.1,1972,C1,14112440.67,4.5,46,Commercial
1255,9,9.5,1976,C1,5356274.03,0.7,8,Commercial
927,4,4.8,1999,C1,3048610.19,0.0,15,Commercial
4859,7,6.5,1969,I2,16236270.13,4.5,8,Industrial
2046,5,1.9,1962,C1,6144958.29,0.4,20,Commercial
5817,9,1.8,2015,R1,15692582.78,6.4,19,Residential
9942,7,9.3,1980,R1,48954204.38,7.4,48,Residential
4445,4,2.5,1999,I1,7545401.67,9.3,5,Industrial
3879,2,2.9,2010,I2,19031506.24,1.7,2,Industrial
1111,2,8.7,2011,C2,1535344.55,3.6,40,Commercial
6554,4,6.9,1962,R2,22885908.87,4.6,28,Residential
6483,3,9.2,1975,I2,13565166.11,2.7,4,Industrial
2411,9,2.7,1974,I2,8831315.65,9.9,35,Industrial
4337,4,8.6,2008,C2,14726081.49,5.3,2,Commercial
6079,6,1.4,1973,I2,25615506.03,19.7,45,Industrial
5134,1,7.9,2013,R1,14273360.96,4.4,12,Residential
7860,4,5.6,1967,I1,18039504.98,8.8,8,Industrial
5468,5,3.7,2017,I2,21666027.03,3.1,13,Industrial
8263,8,5.0,2022,R2,20575704.83,13.4,44,Residential
3704,2,3.1,1966,C2,9222905.86,9.1,26,Commercial
5524,4,1.6,2005,C2,18013971.77,2.1,17,Commercial
6770,2,9.7,2018,R2,23900675.75,1.9,34,Residential
6138,8,7.4,2001,R2,8381426.59,2.0,14,Residential
8573,8,4.8,2018,C2,13661465.93,0.3,35,Commercial
3975,6,1.8,1971,I2,17450025.36,1.6,15,Industrial
3236,5,6.3,1971,C2,10628982.86,2.2,31,Commercial
675,1,4.6,1975,I2,3036619.87,2.7,9,Industrial
1432,8,5.6,1952,R1,4113861.07,0.7,2,Residential
5008,8,1.5,2013,C2,24923759.78,6.8,19,Commercial
4033,3,6.9,1960,I2,19333422.89,2.7,14,Industrial
4844,9,8.1,2020,R1,11248123.85,8.0,39,Residential
3987,1,8.1,1958,R2,19231889.4,2.1,42,Residential
479,7,2.5,1980,I2,2123855.53,0.2,8,Industrial
2518,5,7.6,2021,I1,5105294.46,4.7,7,Industrial
1788,8,6.8,1956,C2,5946545.75,0.2,47,Commercial
323,2,8.9,1982,I1,651702.35,2.1,12,Industrial
5072,6,4.3,1979,R1,16030068.28,0.5,47,Residential
4797,3,9.2,2015,C1,8973012.05,7.1,18,Commercial
3094,4,2.7,1958,I1,14822498.69,6.7,36,Industrial
5461,4,6.9,1998,C1,14105667.3,9.8,3,Commercial
5891,8,5.9,1989,I1,11595075.16,0.1,37,Industrial
1674,2,3.1,1962,I1,6515169.48,1.0,39,Industrial
4047,3,4.1,1951,R1,18691861.22,0.0,28,Residential
7313,1,7.4,2000,I2,7726434.34,21.6,31,Industrial
4644,7,1.6,1960,R1,21780039.08,1.6,48,Residential
3853,5,7.0,1972,R1,5310355.14,5.5,38,Residential
5008,1,8.1,1955,R2,7425578.24,2.5,23,Residential
8634,4,7.6,1951,R2,20953356.71,14.6,14,Residential
510,3,7.9,1980,R1,1434376.1,1.7,8,Residential
1296,4,3.3,1991,R2,5748864.1,15.8,22,Residential
1003,7,3.3,1977,C2,1334076.16,3.4,27,Commercial
1511,2,4.8,1994,C1,5493190.63,4.2,40,Commercial
3740,2,6.8,2014,I2,4334055.92,9.1,5,Industrial
4998,3,2.8,1987,C1,5085646.19,11.9,36,Commercial
6160,8,3.7,2019,I2,14068982.73,0.7,49,Industrial
1047,7,7.3,1965,R1,1948497.59,1.5,18,Residential
3597,1,5.0,2020,R1,7469552.53,2.8,22,Residential
913,4,6.0,2002,C1,2658841.28,1.7,4,Commercial
6197,4,4.9,1993,C2,9117672.02,6.3,26,Commercial
7543,2,5.0,1993,I2,9077462.06,1.8,39,Industrial
4327,1,1.2,1970,C1,9377401.06,10.7,13,Commercial
5979,2,5.0,1970,R2,15221470.45,2.4,35,Residential
4804,9,3.2,1965,I2,6979297.0,2.7,44,Industrial
8526,3,2.5,1972,I1,23240752.83,3.6,17,Industrial
513,1,5.8,2010,R2,2302320.82,2.6,18,Residential
2698,3,2.1,1966,I2,8350517.15,2.8,33,Industrial
468,2,1.1,2019,R2,1632609.66,0.1,29,Residential
8338,8,5.8,1993,I1,21758944.03,1.2,16,Industrial
6896,2,6.0,1982,I2,9033529.93,6.7,49,Industrial
981,8,6.5,2021,R1,3247153.19,17.2,3,Residential
2810,7,9.4,1954,C2,4254777.51,5.4,4,Commercial
9788,7,1.0,1994,R2,19959263.07,8.4,26,Residential
5509,7,5.6,1994,C1,16977011.1,4.0,7,Commercial
9862,4,5.5,1979,C1,13201815.61,5.2,16,Commercial
9125,7,5.1,2019,I1,34644218.76,9.7,16,Industrial
8016,6,1.3,2007,R1,11489366.53,7.3,22,Residential
5095,9,1.4,1976,C1,17576776.98,3.5,43,Commercial
1462,5,1.6,1982,C2,5526966.32,1.4,23,Commercial
2421,6,1.9,1978,R2,6257085.96,0.4,45,Residential
8193,4,5.6,1976,C2,30889844.77,2.2,30,Commercial
4753,8,5.7,2001,I1,9571859.41,0.9,34,Industrial
9875,7,8.5,1996,C1,23540763.63,2.2,37,Commercial
2232,8,1.2,1958,R2,9303933.06,13.3,23,Residential
6315,3,4.0,1988,C2,13505532.03,7.6,41,Commercial
9501,6,7.7,1988,R1,18933293.6,0.7,4,Residential
5797,7,9.3,1955,C1,24596236.35,0.2,17,Commercial
2044,5,7.6,1952,C2,4531936.61,3.8,34,Commercial
1214,4,1.3,1967,R2,4143098.61,13.5,8,Residential
7056,7,8.4,2005,C1,13140356.1,10.2,30,Commercial
5249,6,7.9,2000,I2,13725487.29,4.8,26,Industrial
5788,2,1.1,1977,C2,13726396.67,5.1,19,Commercial
335,2,3.2,2019,C2,1250176.48,4.2,28,Commercial
1247,3,1.5,2018,C2,2178055.31,5.7,31,Commercial
634,1,6.8,1970,R1,2512342.14,10.6,8,Residential
7041,5,6.1,1997,I1,15729076.55,0.6,30,Industrial
5380,1,4.2,2004,I1,26621176.04,4.8,33,Industrial
734,5,6.7,2006,R1,1785514.81,13.7,41,Residential
9139,2,8.2,1974,R2,32461316.22,3.7,30,Residential
5813,7,1.8,1985,R2,22778639.97,5.6,37,Residential
1047,9,8.0,1974,R1,1908359.01,0.6,38,Residential
4665,4,8.6,1951,C2,10948029.4,15.6,14,Commercial
6841,9,3.2,1998,R2,30024234.59,5.7,32,Residential
2744,7,2.1,1955,R1,3472247.74,5.7,4,Residential
1220,4,7.7,1996,C2,4647980.35,12.8,17,Commercial
7310,4,2.1,2002,R2,23036709.59,0.2,3,Residential
8903,4,1.1,1983,I2,9879508.65,18.9,46,Industrial
6677,4,3.7,1998,C2,25070281.4,5.5,39,Commercial
7498,4,6.6,1983,C2,35938661.25,9.6,20,Commercial
4195,7,6.5,2012,I1,5594689.97,1.3,3,Industrial
4839,5,6.5,1959,C1,5917627.8,2.3,27,Commercial
2011,4,8.0,1982,C2,2249120.89,6.3,31,Commercial
4052,3,7.2,1984,I2,16811013.96,7.8,7,Industrial
1851,2,2.4,2018,C1,2052805.17,10.3,45,Commercial
9745,4,7.7,2019,I2,23625597.26,3.7,44,Industrial
6521,9,3.9,2019,R1,23688041.12,4.8,21,Residential
