Crop Type,Pest Type,Pest Size (mm),Pest Color,Affected Area (%),Crop Stage,Pest Behavior,Detection Time (Days Since Sowing),Previous Infestation,"Pest Detected (1=Yes, 0=No)"
Potato,Mites,2.54,Yellow,37.1,Vegetative,Scattered,18,1,1
Maize,Whiteflies,0.9,Yellow,68.61,Seedling,Fast-moving,13,0,1
Maize,Leafhoppers,3.97,White,75.02,Maturity,Fast-moving,17,1,1
Wheat,Thrips,1.04,Yellow,83.54,Flowering,Slow-moving,7,1,1
Cotton,None,2.92,Brown,72.64,Flowering,Fast-moving,20,1,0
Rice,Leafhoppers,1.82,White,54.02,Maturity,Scattered,14,1,1
Maize,Aphids,0.55,Green,87.29,Seedling,Clustered,3,1,1
Tomato,None,0.76,Black,66.45,Seedling,Slow-moving,7,0,0
Maize,None,1.95,Green,58.03,Vegetative,Clustered,22,1,0
Tomato,Mites,1.93,Brown,69.17,Vegetative,Fast-moving,6,1,1
Maize,Leafhoppers,2.16,Yellow,71.89,Vegetative,Scattered,2,0,1
Wheat,Leafhoppers,1.68,Yellow,12.58,Flowering,Clustered,14,0,1
Rice,Whiteflies,1.81,Brown,8.92,Seedling,Slow-moving,8,0,1
Chili,Leafhoppers,2.57,White,40.22,Flowering,Fast-moving,11,0,1
Cotton,Mites,3.3,White,86.9,Vegetative,Slow-moving,14,0,1
Chili,Leafhoppers,2.08,Brown,48.58,Flowering,Scattered,22,1,1
Maize,Caterpillars,0.75,Black,86.4,Vegetative,Fast-moving,5,0,1
Wheat,Caterpillars,1.26,Black,68.68,Vegetative,Fast-moving,15,0,1
Wheat,Caterpillars,0.86,White,15.66,Vegetative,Fast-moving,26,0,1
Potato,Whiteflies,3.44,Green,36.2,Flowering,Clustered,18,0,1
Chili,Whiteflies,1.11,Green,35.33,Maturity,Fast-moving,14,1,1
Rice,Aphids,3.21,White,73.92,Maturity,Slow-moving,7,1,1
Rice,Whiteflies,1.69,Green,41.87,Seedling,Fast-moving,19,1,1
Wheat,Caterpillars,2.42,Black,3.02,Flowering,Slow-moving,8,0,1
Chili,Thrips,0.93,Brown,76.64,Vegetative,Scattered,23,1,1
Wheat,Mites,1.63,Black,36.47,Vegetative,Scattered,6,0,1
Potato,Thrips,3.02,Black,43.93,Flowering,Scattered,2,0,1
Maize,Thrips,1.85,White,24.89,Seedling,Fast-moving,21,1,1
Potato,Whiteflies,1.95,Green,21.42,Vegetative,Slow-moving,15,1,1
Rice,Whiteflies,3.16,Brown,82.99,Flowering,Fast-moving,28,1,1
Maize,Leafhoppers,0.5,Brown,55.71,Vegetative,Fast-moving,19,1,1
Rice,None,0.88,Green,38.68,Vegetative,Scattered,15,1,0
Potato,Mites,0.5,Black,10.0,Flowering,Slow-moving,25,1,1
Rice,Caterpillars,0.83,Yellow,49.19,Vegetative,Slow-moving,1,0,1
Potato,Leafhoppers,1.77,White,44.25,Maturity,Fast-moving,17,0,1
Maize,None,1.54,Yellow,28.21,Vegetative,Slow-moving,2,0,0
Tomato,None,1.71,Yellow,8.45,Flowering,Slow-moving,25,1,0
Wheat,Leafhoppers,1.2,Black,62.54,Vegetative,Fast-moving,21,0,1
Cotton,Leafhoppers,2.76,Green,84.08,Maturity,Fast-moving,9,1,1
Tomato,Leafhoppers,2.99,Brown,16.12,Flowering,Slow-moving,28,1,1
Cotton,Aphids,1.58,Brown,6.86,Flowering,Scattered,5,0,1
Cotton,Leafhoppers,1.04,Black,77.55,Flowering,Slow-moving,26,0,1
Maize,Thrips,0.52,Green,28.24,Vegetative,Slow-moving,19,1,1
Tomato,Thrips,2.58,Yellow,65.15,Maturity,Fast-moving,2,0,1
Tomato,Caterpillars,1.71,Brown,23.33,Seedling,Fast-moving,6,1,1
Potato,Mites,1.4,Yellow,63.58,Seedling,Fast-moving,24,0,1
Maize,Aphids,2.01,Yellow,75.04,Maturity,Clustered,22,1,1
Rice,Leafhoppers,0.68,Black,59.95,Flowering,Scattered,23,1,1
Wheat,Whiteflies,1.8,White,73.91,Maturity,Slow-moving,4,0,1
Tomato,Whiteflies,2.36,Brown,35.6,Flowering,Clustered,22,1,1
Wheat,None,0.5,Yellow,65.4,Flowering,Slow-moving,3,0,0
Rice,Aphids,1.51,Green,12.48,Seedling,Clustered,2,1,1
Cotton,Thrips,3.09,White,58.99,Maturity,Fast-moving,25,0,1
Cotton,None,0.81,Brown,63.72,Maturity,Slow-moving,4,0,0
Potato,None,2.95,Green,55.59,Seedling,Slow-moving,5,1,0
Rice,Leafhoppers,2.18,Yellow,56.17,Seedling,Slow-moving,20,1,1
Tomato,None,0.5,Yellow,67.49,Flowering,Scattered,12,1,0
Cotton,Caterpillars,3.56,Yellow,36.37,Seedling,Scattered,22,0,1
Potato,Thrips,2.32,White,88.78,Maturity,Fast-moving,11,0,1
Maize,Caterpillars,1.85,Brown,79.99,Flowering,Clustered,20,1,1
Maize,Whiteflies,3.59,Yellow,17.29,Flowering,Scattered,16,0,1
Maize,Thrips,1.93,White,16.21,Vegetative,Fast-moving,17,1,1
Chili,Thrips,2.84,Black,45.98,Maturity,Slow-moving,19,1,1
Wheat,Leafhoppers,4.62,Black,60.13,Seedling,Clustered,9,1,1
Potato,Thrips,4.87,Yellow,4.84,Flowering,Clustered,1,0,1
Chili,Caterpillars,2.99,Brown,30.7,Vegetative,Scattered,7,1,1
Maize,Leafhoppers,2.63,White,81.53,Maturity,Clustered,24,1,1
Rice,Mites,1.78,Yellow,87.73,Maturity,Scattered,27,1,1
Maize,Leafhoppers,2.13,Yellow,26.44,Seedling,Clustered,2,0,1
Tomato,Mites,3.2,Yellow,88.6,Maturity,Clustered,23,1,1
Tomato,Leafhoppers,3.59,Yellow,81.71,Maturity,Scattered,17,0,1
Chili,Aphids,1.21,Brown,37.4,Seedling,Slow-moving,21,0,1
Rice,Mites,4.83,Brown,39.01,Flowering,Fast-moving,14,1,1
Maize,Thrips,0.95,Green,24.77,Seedling,Scattered,10,0,1
Wheat,Whiteflies,4.09,White,31.4,Vegetative,Slow-moving,29,1,1
Maize,Aphids,2.37,Black,73.16,Vegetative,Scattered,8,0,1
Chili,Caterpillars,0.5,Yellow,50.35,Seedling,Slow-moving,12,0,1
Tomato,Aphids,3.53,Brown,43.28,Flowering,Scattered,27,1,1
Tomato,Caterpillars,0.75,Yellow,10.59,Vegetative,Clustered,23,0,1
Wheat,Aphids,1.06,Green,85.52,Maturity,Fast-moving,17,1,1
Maize,Whiteflies,1.19,Green,74.24,Maturity,Fast-moving,10,1,1
Chili,Caterpillars,2.4,Brown,63.51,Maturity,Fast-moving,25,0,1
Chili,Aphids,1.77,Yellow,14.59,Seedling,Scattered,21,0,1
Rice,Mites,2.64,Brown,37.34,Vegetative,Clustered,18,0,1
Tomato,Whiteflies,1.46,Green,26.03,Seedling,Clustered,5,1,1
Cotton,Whiteflies,1.15,Yellow,2.24,Maturity,Fast-moving,8,0,1
Maize,Leafhoppers,2.56,Yellow,34.5,Seedling,Fast-moving,3,1,1
Maize,None,1.73,Black,51.7,Vegetative,Clustered,13,1,0
Chili,None,3.5,Black,43.11,Flowering,Fast-moving,17,1,0
Cotton,Leafhoppers,3.16,Yellow,8.86,Flowering,Scattered,18,1,1
Potato,Whiteflies,1.8,Brown,20.92,Vegetative,Slow-moving,20,1,1
Potato,Leafhoppers,2.57,Black,36.73,Seedling,Clustered,24,1,1
Cotton,Caterpillars,3.19,Yellow,47.72,Vegetative,Fast-moving,15,1,1
Chili,Mites,2.73,Brown,8.86,Maturity,Fast-moving,25,1,1
Potato,Whiteflies,2.22,Black,47.65,Seedling,Fast-moving,28,1,1
Tomato,Leafhoppers,1.8,Brown,22.33,Maturity,Slow-moving,25,1,1
Tomato,Leafhoppers,3.5,Green,16.36,Vegetative,Fast-moving,12,0,1
Cotton,Leafhoppers,1.86,Yellow,39.95,Flowering,Slow-moving,17,1,1
Maize,Mites,3.02,Yellow,8.05,Vegetative,Fast-moving,28,1,1
Maize,Caterpillars,1.21,White,61.91,Vegetative,Fast-moving,16,1,1
Wheat,None,2.06,Green,70.08,Flowering,Slow-moving,3,1,0
Rice,Caterpillars,2.68,Brown,42.79,Flowering,Scattered,8,0,1
Potato,Whiteflies,2.22,Black,43.3,Maturity,Fast-moving,23,1,1
Tomato,Thrips,1.36,Yellow,81.12,Seedling,Scattered,20,1,1
Cotton,Thrips,1.27,Yellow,43.57,Flowering,Fast-moving,17,0,1
Chili,Thrips,1.42,White,35.63,Seedling,Scattered,16,0,1
Tomato,Caterpillars,1.91,White,9.26,Seedling,Clustered,22,1,1
Rice,Aphids,1.86,Black,78.81,Flowering,Clustered,12,0,1
Maize,Thrips,2.89,White,30.25,Seedling,Slow-moving,16,1,1
Cotton,Thrips,1.67,White,66.61,Flowering,Scattered,29,0,1
Tomato,Mites,2.34,White,30.44,Vegetative,Slow-moving,21,1,1
Wheat,Whiteflies,1.8,Brown,61.98,Seedling,Scattered,28,1,1
Cotton,Leafhoppers,2.24,White,82.13,Seedling,Clustered,15,0,1
Cotton,Thrips,2.11,Brown,56.38,Seedling,Scattered,29,0,1
Potato,None,0.5,Black,34.17,Seedling,Scattered,11,1,0
Chili,Leafhoppers,2.55,Brown,59.28,Seedling,Slow-moving,8,0,1
Wheat,Caterpillars,1.02,White,51.86,Vegetative,Clustered,8,0,1
Wheat,Leafhoppers,3.33,Yellow,71.01,Vegetative,Fast-moving,21,0,1
Wheat,Mites,2.31,Yellow,29.14,Seedling,Fast-moving,12,0,1
Wheat,Caterpillars,2.63,Brown,59.76,Seedling,Scattered,18,1,1
Tomato,Thrips,2.59,White,15.11,Vegetative,Fast-moving,4,0,1
Rice,Caterpillars,1.18,Yellow,61.7,Seedling,Clustered,14,1,1
Cotton,Aphids,4.39,Yellow,74.86,Vegetative,Scattered,16,0,1
Chili,Whiteflies,0.98,Yellow,17.7,Maturity,Clustered,21,0,1
Rice,Aphids,0.5,Yellow,58.83,Flowering,Scattered,16,1,1
Potato,None,2.29,Black,14.92,Maturity,Scattered,2,1,0
Wheat,Leafhoppers,1.49,White,66.45,Maturity,Scattered,3,0,1
Wheat,Thrips,1.17,Green,50.38,Seedling,Fast-moving,5,0,1
Wheat,None,2.36,Black,7.41,Maturity,Slow-moving,4,0,0
Wheat,Whiteflies,1.43,Black,9.38,Maturity,Scattered,29,0,1
Chili,Mites,1.72,Yellow,44.62,Maturity,Slow-moving,27,0,1
Chili,Leafhoppers,2.66,Yellow,79.01,Flowering,Scattered,8,0,1
Tomato,Aphids,0.5,Yellow,58.07,Seedling,Fast-moving,28,0,1
Chili,Leafhoppers,1.97,Yellow,88.75,Flowering,Scattered,16,0,1
Maize,Caterpillars,0.6,Black,88.99,Seedling,Slow-moving,7,0,1
Tomato,None,2.11,Black,11.08,Maturity,Slow-moving,4,1,0
Wheat,None,1.97,Black,41.19,Vegetative,Fast-moving,29,0,0
Tomato,Whiteflies,0.5,Yellow,21.86,Maturity,Clustered,24,1,1
Potato,Leafhoppers,2.56,Brown,2.76,Vegetative,Fast-moving,29,1,1
Cotton,None,2.43,Green,82.53,Flowering,Clustered,13,1,0
Chili,Thrips,1.84,Brown,37.18,Flowering,Scattered,5,1,1
Rice,Mites,2.75,Green,46.57,Vegetative,Scattered,28,0,1
Wheat,None,2.75,White,10.45,Flowering,Scattered,1,0,0
Cotton,None,1.46,Black,38.62,Maturity,Clustered,23,1,0
Rice,Mites,1.93,White,47.34,Flowering,Fast-moving,13,1,1
Tomato,None,0.72,Brown,63.12,Maturity,Scattered,15,0,0
Chili,Aphids,2.02,Yellow,72.07,Seedling,Clustered,23,1,1
Rice,Thrips,2.04,Black,68.94,Maturity,Slow-moving,27,0,1
Chili,Caterpillars,2.53,Green,88.72,Flowering,Slow-moving,25,0,1
Potato,Mites,2.49,Brown,55.2,Flowering,Scattered,23,1,1
Tomato,Whiteflies,1.11,White,36.46,Seedling,Slow-moving,26,0,1
Rice,Thrips,2.12,Brown,2.43,Maturity,Slow-moving,4,0,1
Wheat,Caterpillars,1.96,Black,50.61,Maturity,Slow-moving,1,1,1
Wheat,None,1.43,Green,85.56,Maturity,Slow-moving,29,1,0
Potato,Whiteflies,0.86,Black,17.37,Vegetative,Scattered,13,0,1
Tomato,None,2.3,Brown,18.26,Vegetative,Slow-moving,23,0,0
Rice,None,1.37,Green,18.67,Flowering,Slow-moving,13,1,0
Potato,None,0.5,Brown,21.36,Seedling,Clustered,12,1,0
Potato,Aphids,2.04,Green,39.77,Vegetative,Slow-moving,24,1,1
Tomato,Caterpillars,2.39,Black,11.96,Maturity,Slow-moving,28,0,1
Wheat,Whiteflies,2.28,Yellow,8.69,Vegetative,Scattered,25,0,1
Maize,Mites,3.5,Green,54.07,Flowering,Fast-moving,28,0,1
Wheat,Leafhoppers,1.91,Black,74.71,Maturity,Slow-moving,3,1,1
Maize,Thrips,2.01,Yellow,83.44,Maturity,Scattered,5,1,1
Chili,Mites,1.88,Brown,38.9,Seedling,Slow-moving,5,1,1
Maize,Thrips,1.78,Brown,39.24,Seedling,Scattered,8,1,1
Potato,Leafhoppers,1.78,White,20.76,Vegetative,Scattered,14,1,1
Tomato,Aphids,1.62,Brown,70.02,Maturity,Slow-moving,27,1,1
Chili,Thrips,1.6,Green,85.5,Seedling,Scattered,21,0,1
Maize,Whiteflies,2.97,Brown,50.06,Seedling,Slow-moving,18,1,1
Cotton,Aphids,0.77,Black,53.78,Seedling,Fast-moving,1,0,1
Maize,Aphids,2.63,Black,31.4,Seedling,Scattered,26,0,1
Potato,Caterpillars,2.18,Green,26.0,Flowering,Clustered,22,0,1
Wheat,Thrips,3.02,Black,54.58,Seedling,Scattered,18,1,1
Chili,None,0.67,Yellow,7.67,Flowering,Clustered,28,0,0
Tomato,None,3.67,Brown,13.32,Vegetative,Fast-moving,20,1,0
Wheat,Leafhoppers,1.93,Green,52.99,Vegetative,Slow-moving,28,1,1
Potato,Whiteflies,3.08,White,8.18,Vegetative,Slow-moving,3,0,1
Rice,Leafhoppers,2.63,Brown,11.58,Vegetative,Scattered,3,1,1
Wheat,Aphids,3.23,Yellow,42.32,Maturity,Slow-moving,29,0,1
Cotton,Whiteflies,1.82,White,55.45,Vegetative,Fast-moving,2,0,1
Rice,Whiteflies,1.53,Green,83.33,Flowering,Slow-moving,25,1,1
Maize,Mites,4.41,Black,43.76,Maturity,Slow-moving,20,0,1
Rice,Caterpillars,3.38,Yellow,13.49,Flowering,Scattered,26,0,1
Potato,Thrips,2.37,Green,71.67,Flowering,Scattered,13,0,1
Maize,Whiteflies,1.68,Black,63.8,Seedling,Fast-moving,17,1,1
Wheat,Caterpillars,1.49,White,55.5,Vegetative,Slow-moving,4,1,1
Tomato,Mites,2.04,White,85.89,Vegetative,Slow-moving,4,1,1
Tomato,None,1.34,Brown,55.29,Flowering,Scattered,24,1,0
Wheat,Mites,2.25,Black,7.42,Vegetative,Slow-moving,10,0,1
Cotton,Thrips,4.25,Yellow,49.81,Seedling,Fast-moving,25,0,1
Maize,Thrips,1.31,Yellow,19.12,Vegetative,Fast-moving,1,1,1
Wheat,Mites,2.51,Yellow,85.21,Maturity,Scattered,1,1,1
Tomato,Thrips,2.44,Green,52.63,Vegetative,Fast-moving,22,1,1
Rice,Whiteflies,3.16,Green,28.34,Seedling,Slow-moving,16,1,1
Wheat,Aphids,1.07,Yellow,24.52,Maturity,Slow-moving,13,1,1
Maize,Aphids,1.91,Yellow,45.83,Flowering,Scattered,17,1,1
Maize,Mites,1.78,Black,70.61,Vegetative,Fast-moving,22,0,1
Wheat,Aphids,1.73,White,18.86,Vegetative,Slow-moving,23,0,1
Tomato,Aphids,2.16,Brown,4.56,Seedling,Fast-moving,6,0,1
Wheat,None,2.07,Brown,29.16,Flowering,Clustered,2,0,0
Maize,Whiteflies,1.71,Brown,39.66,Seedling,Clustered,13,1,1
Rice,Mites,3.57,Brown,14.77,Flowering,Fast-moving,21,1,1
Cotton,Caterpillars,2.2,Yellow,44.82,Vegetative,Scattered,15,1,1
Potato,Mites,1.62,White,22.23,Maturity,Clustered,27,0,1
Rice,Mites,3.25,Brown,68.49,Vegetative,Clustered,15,1,1
Maize,Mites,1.32,Black,45.34,Maturity,Clustered,1,0,1
Cotton,Thrips,2.29,Green,30.01,Vegetative,Slow-moving,27,1,1
Maize,Whiteflies,3.29,Black,25.33,Vegetative,Clustered,20,0,1
Potato,Mites,2.27,Brown,67.72,Flowering,Scattered,19,1,1
Maize,None,1.44,Black,34.31,Flowering,Clustered,11,0,0
Chili,Caterpillars,2.16,Green,16.46,Vegetative,Clustered,4,1,1
Wheat,Leafhoppers,1.98,White,56.75,Vegetative,Fast-moving,27,0,1
Tomato,None,1.62,Black,80.91,Flowering,Clustered,13,0,0
Cotton,Mites,2.9,Black,82.26,Seedling,Clustered,18,1,1
Potato,Mites,1.77,Black,64.97,Maturity,Fast-moving,9,1,1
Potato,Thrips,1.09,Yellow,30.2,Maturity,Slow-moving,10,1,1
Potato,Mites,2.33,Black,12.51,Vegetative,Clustered,25,0,1
Potato,Aphids,1.91,Yellow,70.7,Flowering,Clustered,21,1,1
Wheat,Caterpillars,2.23,Brown,1.76,Vegetative,Slow-moving,19,1,1
Rice,Mites,0.95,White,89.17,Seedling,Clustered,8,0,1
Cotton,Whiteflies,2.43,Green,39.0,Maturity,Slow-moving,13,0,1
Tomato,Whiteflies,1.73,Brown,33.9,Vegetative,Clustered,7,0,1
Tomato,Mites,2.03,Yellow,36.46,Maturity,Fast-moving,29,1,1
Cotton,None,0.67,White,8.79,Maturity,Fast-moving,7,0,0
Tomato,Aphids,0.96,Brown,14.31,Seedling,Scattered,14,1,1
Rice,Caterpillars,0.92,Green,63.46,Maturity,Clustered,9,1,1
Maize,Thrips,2.0,White,43.93,Vegetative,Clustered,19,1,1
Maize,Mites,1.55,White,43.24,Seedling,Fast-moving,13,0,1
Chili,Whiteflies,1.31,Brown,4.32,Maturity,Clustered,28,0,1
Cotton,Whiteflies,2.14,Brown,40.47,Flowering,Clustered,6,0,1
Wheat,Leafhoppers,2.9,Yellow,16.6,Vegetative,Slow-moving,15,1,1
Potato,Caterpillars,2.1,Green,29.33,Maturity,Slow-moving,8,1,1
Rice,Whiteflies,1.19,Brown,76.91,Flowering,Fast-moving,3,0,1
Chili,Aphids,3.03,Yellow,25.03,Flowering,Slow-moving,7,1,1
Chili,Whiteflies,0.88,Green,26.93,Flowering,Slow-moving,8,0,1
Chili,Leafhoppers,1.92,Green,22.4,Seedling,Slow-moving,9,0,1
Rice,Mites,1.97,Black,9.29,Vegetative,Slow-moving,3,0,1
Maize,Thrips,1.82,Green,52.7,Vegetative,Clustered,14,1,1
Potato,Whiteflies,2.71,Brown,88.13,Flowering,Slow-moving,5,0,1
Maize,Leafhoppers,1.78,Black,25.78,Seedling,Slow-moving,4,0,1
Tomato,Caterpillars,0.84,Black,36.7,Maturity,Fast-moving,18,0,1
Cotton,Whiteflies,1.09,White,70.06,Maturity,Slow-moving,28,0,1
Cotton,Thrips,2.18,White,41.64,Maturity,Scattered,27,0,1
Cotton,Mites,2.04,Green,58.75,Flowering,Slow-moving,9,0,1
Tomato,Thrips,0.58,Black,14.72,Vegetative,Fast-moving,8,0,1
Chili,Leafhoppers,0.86,Green,81.66,Flowering,Fast-moving,27,1,1
Potato,Caterpillars,2.57,Green,16.7,Maturity,Slow-moving,11,1,1
Wheat,Leafhoppers,1.72,White,50.39,Maturity,Scattered,15,1,1
Chili,Aphids,2.79,Green,38.52,Vegetative,Fast-moving,22,1,1
Wheat,Thrips,1.33,Black,6.67,Seedling,Fast-moving,12,0,1
Chili,Leafhoppers,4.68,Green,22.67,Seedling,Slow-moving,19,1,1
Wheat,None,2.56,White,22.94,Flowering,Clustered,9,1,0
Maize,Caterpillars,0.5,Black,29.75,Vegetative,Clustered,21,1,1
Chili,Aphids,2.99,Brown,83.1,Maturity,Clustered,4,0,1
Potato,Thrips,1.12,Green,76.4,Maturity,Slow-moving,1,1,1
Maize,Leafhoppers,0.5,Green,12.64,Vegetative,Slow-moving,16,0,1
Tomato,Whiteflies,1.35,Black,24.3,Seedling,Slow-moving,19,0,1
Potato,Whiteflies,2.02,Black,1.34,Maturity,Scattered,20,1,1
Chili,Thrips,2.62,White,64.79,Flowering,Scattered,28,1,1
Cotton,Caterpillars,2.13,White,88.94,Maturity,Slow-moving,6,1,1
Chili,None,3.25,Yellow,22.96,Seedling,Slow-moving,8,0,0
Tomato,None,2.23,Yellow,2.23,Seedling,Fast-moving,16,1,0
Wheat,Aphids,0.85,Brown,47.17,Maturity,Scattered,8,1,1
Tomato,Caterpillars,1.17,Yellow,65.29,Seedling,Scattered,23,0,1
Maize,Mites,1.03,Green,14.05,Vegetative,Scattered,29,1,1
Chili,Thrips,0.65,Black,73.6,Vegetative,Slow-moving,9,0,1
Chili,None,3.56,Brown,50.5,Flowering,Slow-moving,8,1,0
Chili,Caterpillars,0.66,White,47.17,Maturity,Clustered,5,0,1
Maize,Caterpillars,2.57,Green,56.85,Seedling,Scattered,8,1,1
Tomato,Whiteflies,2.1,White,45.42,Seedling,Clustered,13,0,1
Cotton,Mites,2.16,Black,21.39,Maturity,Slow-moving,9,0,1
Potato,Leafhoppers,1.56,Green,42.31,Seedling,Fast-moving,18,1,1
Potato,Thrips,1.83,Black,9.97,Flowering,Scattered,18,0,1
Chili,Aphids,2.06,Black,70.43,Seedling,Scattered,15,0,1
Cotton,Mites,0.86,Yellow,51.19,Seedling,Slow-moving,8,1,1
Maize,Whiteflies,2.19,Green,84.44,Seedling,Fast-moving,6,1,1
Cotton,Whiteflies,2.85,Brown,36.26,Vegetative,Clustered,25,0,1
Rice,Mites,2.2,Yellow,21.89,Seedling,Scattered,4,0,1
Rice,Whiteflies,3.31,White,73.18,Maturity,Fast-moving,25,1,1
