route,airline,booking_class,demand_level,season,days_to_departure,fuel_price_index,competitor_price,predicted_flight_price_inr
PUNE-BLR,SkyJet,Economy,1.36,Peak,0,110.33,8605.2,14981.08
HYD-BOM,IndiSky,Economy,1.0,Regular,109,99.43,9982.14,6721.19
PUNE-BLR,FlyIndia,Economy,0.7,Off-Peak,156,114.3,3301.44,3574.07
PUNE-BLR,IndiSky,Economy,1.13,Holiday,160,92.88,11180.44,6844.41
GOA-DEL,FlyIndia,Economy,0.68,Off-Peak,166,97.76,9404.77,4399.21
BLR-DEL,FlyIndia,Premium Economy,1.41,Peak,7,121.57,2824.7,23820.38
BLR-DEL,IndiSky,Premium Economy,1.05,Regular,35,118.34,5310.56,13383.3
PUNE-BLR,FlyIndia,Economy,0.78,Holiday,134,96.86,4809.1,4213.13
HYD-BOM,IndiSky,Economy,0.77,Regular,88,95.48,10829.2,4709.25
PUNE-BLR,BharatAir,Economy,0.9,Off-Peak,31,98.32,8125.06,6163.59
BLR-DEL,SkyJet,Economy,0.71,Off-Peak,53,114.41,2728.2,6107.97
GOA-DEL,BharatAir,Economy,1.12,Peak,49,103.35,3755.14,14026.81
CHN-KOL,SkyJet,Economy,1.42,Peak,103,120.8,3234.76,13121.34
HYD-BOM,IndiSky,Premium Economy,1.45,Regular,170,86.14,5060.49,9185.61
DEL-MUM,IndiSky,Economy,1.17,Holiday,150,82.36,5110.72,7617.58
DEL-MUM,SkyJet,Economy,1.06,Off-Peak,137,107.04,5093.02,6325.09
DEL-MUM,SkyJet,Economy,0.94,Holiday,45,88.18,3847.88,9604.83
BLR-DEL,FlyIndia,Economy,0.62,Holiday,108,82.84,6173.72,4985.39
DEL-MUM,IndiSky,Economy,0.93,Off-Peak,60,129.56,11296.5,7980.55
GOA-DEL,FlyIndia,Economy,1.42,Peak,75,104.93,7575.77,15902.41
DEL-MUM,AirVista,Economy,1.42,Off-Peak,138,128.71,6294.7,8315.58
CHN-KOL,SkyJet,Economy,1.47,Holiday,162,92.3,10326.09,9441.1
GOA-DEL,AirVista,Economy,0.6,Peak,160,118.34,10169.66,5052.98
BLR-DEL,IndiSky,Premium Economy,1.27,Regular,77,85.02,10282.97,13545.88
HYD-BOM,AirVista,Premium Economy,1.46,Holiday,40,99.33,8923.58,16547.69
BLR-DEL,AirVista,Premium Economy,1.18,Holiday,162,87.9,4859.98,10913.32
PUNE-BLR,FlyIndia,Premium Economy,1.07,Off-Peak,26,120.83,4306.67,11820.0
PUNE-BLR,BharatAir,Premium Economy,1.3,Peak,99,116.93,6302.99,13883.85
CHN-KOL,IndiSky,Premium Economy,1.21,Off-Peak,66,99.29,7629.66,12857.79
PUNE-BLR,FlyIndia,Economy,1.01,Off-Peak,19,113.7,5433.35,7447.9
HYD-BOM,FlyIndia,Economy,1.34,Peak,85,98.85,7859.84,11680.11
BLR-DEL,FlyIndia,Economy,1.0,Peak,9,108.5,11969.71,13189.18
DEL-MUM,IndiSky,Economy,0.83,Peak,69,104.53,5721.61,7637.64
CHN-KOL,AirVista,Economy,1.23,Peak,79,109.31,2923.84,12175.42
GOA-DEL,IndiSky,Premium Economy,0.76,Off-Peak,144,93.61,11982.57,6361.83
CHN-KOL,IndiSky,Economy,0.88,Regular,92,86.41,8829.97,6724.16
CHN-KOL,IndiSky,Economy,0.74,Holiday,137,111.1,5120.76,5787.88
PUNE-BLR,SkyJet,Economy,0.72,Holiday,137,118.96,2506.26,4555.07
HYD-BOM,FlyIndia,Premium Economy,1.44,Off-Peak,159,128.58,4415.84,10249.41
CHN-KOL,AirVista,Economy,1.27,Regular,24,125.22,2942.85,12166.36
DEL-MUM,SkyJet,Economy,0.61,Holiday,140,85.37,10340.17,3184.07
HYD-BOM,BharatAir,Business,0.96,Peak,25,99.08,5966.88,17918.32
DEL-MUM,BharatAir,Business,1.22,Holiday,94,105.3,5300.49,17858.45
DEL-MUM,AirVista,Economy,0.65,Off-Peak,96,103.85,10056.81,5258.61
HYD-BOM,AirVista,Economy,1.16,Regular,14,125.69,4403.4,10462.41
BLR-DEL,SkyJet,Economy,0.63,Peak,44,101.51,5464.16,7214.42
DEL-MUM,IndiSky,Economy,0.69,Holiday,160,100.61,5147.36,4376.89
GOA-DEL,IndiSky,Premium Economy,0.61,Holiday,20,96.33,3744.31,8763.77
PUNE-BLR,AirVista,Economy,0.87,Peak,70,96.66,2837.17,6862.54
BLR-DEL,SkyJet,Economy,1.29,Peak,113,80.64,8303.43,12396.66
GOA-DEL,SkyJet,Economy,0.68,Peak,84,80.16,11389.83,6670.33
CHN-KOL,FlyIndia,Premium Economy,0.71,Off-Peak,92,116.74,3366.64,6944.92
HYD-BOM,AirVista,Economy,0.65,Regular,3,101.65,4888.7,6066.38
DEL-MUM,BharatAir,Economy,1.17,Regular,58,119.47,9900.02,8660.74
BLR-DEL,AirVista,Economy,0.86,Off-Peak,178,123.73,3496.65,4910.39
DEL-MUM,FlyIndia,Economy,1.31,Off-Peak,56,108.65,10790.58,11027.43
GOA-DEL,IndiSky,Economy,1.28,Regular,12,86.58,10213.35,13601.2
BLR-DEL,SkyJet,Economy,0.67,Holiday,116,88.66,4224.66,6371.4
GOA-DEL,BharatAir,Premium Economy,1.36,Regular,8,111.04,8479.45,19316.33
HYD-BOM,SkyJet,Economy,1.33,Regular,65,126.75,11144.5,9764.89
GOA-DEL,BharatAir,Economy,1.47,Peak,169,111.9,10035.38,11194.6
DEL-MUM,AirVista,Economy,1.05,Holiday,171,82.04,6938.03,6410.55
BLR-DEL,BharatAir,Economy,0.62,Holiday,60,124.21,2603.65,6195.97
CHN-KOL,IndiSky,Economy,0.98,Holiday,168,109.24,2514.49,5931.94
DEL-MUM,SkyJet,Economy,1.41,Regular,132,125.42,4377.11,9705.53
CHN-KOL,SkyJet,Economy,0.79,Holiday,149,108.21,8891.32,6054.71
PUNE-BLR,AirVista,Economy,1.23,Regular,110,109.29,4313.98,7566.32
DEL-MUM,IndiSky,Premium Economy,0.91,Off-Peak,32,109.86,6703.65,10713.35
CHN-KOL,BharatAir,Business,1.04,Peak,78,110.3,5931.42,18644.7
DEL-MUM,AirVista,Economy,1.27,Regular,68,128.16,5905.82,10944.31
CHN-KOL,SkyJet,Economy,0.89,Holiday,103,86.65,7055.15,6815.37
HYD-BOM,IndiSky,Economy,0.8,Off-Peak,166,126.88,11787.0,4710.37
CHN-KOL,IndiSky,Business,1.45,Regular,167,107.45,11260.85,15337.66
DEL-MUM,AirVista,Economy,0.72,Regular,122,114.36,10986.2,4864.7
PUNE-BLR,SkyJet,Business,0.96,Off-Peak,16,84.0,9247.13,14316.47
CHN-KOL,BharatAir,Economy,1.16,Off-Peak,124,123.35,6796.17,7947.22
GOA-DEL,AirVista,Economy,1.2,Regular,75,107.19,4631.98,11122.7
GOA-DEL,FlyIndia,Economy,1.15,Off-Peak,21,129.37,7013.93,12340.12
CHN-KOL,SkyJet,Premium Economy,1.07,Peak,68,123.75,4408.14,15031.05
GOA-DEL,BharatAir,Economy,1.17,Holiday,147,117.54,7283.15,9245.15
HYD-BOM,AirVista,Economy,1.2,Holiday,80,94.59,4919.26,9508.15
GOA-DEL,FlyIndia,Economy,0.87,Peak,58,111.52,9878.6,8964.43
CHN-KOL,AirVista,Economy,1.09,Regular,101,100.1,9845.81,9684.19
BLR-DEL,AirVista,Premium Economy,1.25,Off-Peak,13,85.56,9793.54,15746.58
CHN-KOL,IndiSky,Economy,0.82,Regular,97,81.49,11293.97,5926.44
PUNE-BLR,BharatAir,Economy,1.48,Holiday,19,87.06,9640.32,13154.26
GOA-DEL,FlyIndia,Economy,1.13,Peak,3,103.53,9855.16,15934.3
BLR-DEL,SkyJet,Premium Economy,0.75,Off-Peak,46,95.26,9757.61,7881.03
HYD-BOM,AirVista,Economy,0.71,Holiday,169,93.1,7840.06,4251.49
GOA-DEL,FlyIndia,Economy,0.63,Holiday,124,101.67,6788.42,5687.29
CHN-KOL,BharatAir,Premium Economy,0.63,Off-Peak,78,113.81,4664.35,6966.6
GOA-DEL,FlyIndia,Economy,0.64,Peak,9,117.75,7973.14,10087.85
HYD-BOM,FlyIndia,Economy,1.25,Holiday,90,86.35,8413.29,9831.71
CHN-KOL,FlyIndia,Economy,1.11,Holiday,166,95.42,6411.5,7170.89
CHN-KOL,IndiSky,Economy,1.42,Off-Peak,142,86.68,3574.81,7900.3
PUNE-BLR,BharatAir,Economy,1.41,Regular,37,108.81,9141.03,9991.83
GOA-DEL,AirVista,Economy,0.88,Off-Peak,120,111.42,2924.14,6455.08
GOA-DEL,SkyJet,Economy,0.99,Peak,117,100.28,10854.87,8316.08
GOA-DEL,SkyJet,Premium Economy,0.97,Peak,168,117.99,5079.51,9596.28
GOA-DEL,FlyIndia,Premium Economy,0.91,Peak,176,121.58,10076.74,8927.1
CHN-KOL,IndiSky,Business,0.63,Holiday,29,126.37,3723.32,12992.52
DEL-MUM,AirVista,Economy,1.31,Off-Peak,58,120.25,5747.38,10197.56
GOA-DEL,SkyJet,Economy,1.48,Off-Peak,17,109.79,7060.16,15953.01
HYD-BOM,AirVista,Business,1.22,Off-Peak,2,128.48,11638.88,19415.24
DEL-MUM,IndiSky,Premium Economy,0.88,Regular,68,116.77,7535.1,8637.29
BLR-DEL,AirVista,Economy,1.19,Holiday,128,112.04,7135.29,9785.13
CHN-KOL,FlyIndia,Business,0.73,Peak,121,118.3,5464.65,10946.05
DEL-MUM,IndiSky,Economy,1.49,Peak,119,119.83,7175.87,11749.39
GOA-DEL,SkyJet,Economy,1.05,Holiday,81,86.5,10624.61,9680.95
GOA-DEL,SkyJet,Economy,0.62,Holiday,61,84.45,6968.68,6138.4
PUNE-BLR,BharatAir,Premium Economy,1.03,Peak,11,102.03,4988.91,13230.13
GOA-DEL,SkyJet,Economy,0.98,Holiday,6,128.26,4866.25,12242.78
CHN-KOL,AirVista,Economy,1.25,Off-Peak,126,106.73,3238.28,9766.79
CHN-KOL,IndiSky,Economy,1.1,Peak,167,127.98,7914.46,8016.15
DEL-MUM,BharatAir,Economy,1.09,Off-Peak,117,118.02,8926.93,7021.28
CHN-KOL,IndiSky,Economy,1.22,Peak,124,88.24,10920.58,10209.34
HYD-BOM,BharatAir,Economy,0.85,Peak,27,99.77,3345.11,8511.32
GOA-DEL,IndiSky,Economy,0.6,Off-Peak,157,99.29,4937.7,3477.84
GOA-DEL,IndiSky,Economy,0.97,Peak,3,120.97,2676.38,13257.89
PUNE-BLR,AirVista,Economy,1.23,Regular,162,102.96,6061.08,6214.03
HYD-BOM,FlyIndia,Economy,1.48,Peak,80,81.13,2590.79,11938.99
GOA-DEL,BharatAir,Business,1.24,Regular,49,122.49,5390.21,22480.34
BLR-DEL,AirVista,Economy,1.18,Off-Peak,30,99.93,11765.45,10893.28
DEL-MUM,SkyJet,Economy,1.07,Holiday,122,104.12,8578.12,8837.06
BLR-DEL,SkyJet,Premium Economy,0.64,Regular,135,93.42,11550.98,5618.64
PUNE-BLR,SkyJet,Business,1.08,Peak,112,91.47,3280.15,14417.78
BLR-DEL,AirVista,Business,1.44,Regular,77,126.06,7604.19,21846.97
CHN-KOL,BharatAir,Economy,0.96,Regular,51,110.73,11396.24,8721.94
CHN-KOL,BharatAir,Business,1.04,Off-Peak,169,101.17,4035.88,10213.01
CHN-KOL,SkyJet,Economy,0.62,Off-Peak,59,85.06,5183.21,5068.86
HYD-BOM,BharatAir,Economy,0.96,Peak,17,107.07,9989.24,9690.24
HYD-BOM,FlyIndia,Economy,0.69,Off-Peak,51,104.3,7089.69,5364.2
GOA-DEL,IndiSky,Economy,0.98,Regular,160,95.29,8167.23,7115.64
BLR-DEL,SkyJet,Economy,1.41,Regular,135,84.18,5705.16,9044.28
DEL-MUM,FlyIndia,Economy,0.84,Peak,84,114.57,9841.92,8315.09
PUNE-BLR,SkyJet,Economy,1.05,Peak,113,126.68,6350.56,7688.93
CHN-KOL,FlyIndia,Economy,1.46,Holiday,51,88.5,9688.53,14462.74
BLR-DEL,FlyIndia,Premium Economy,1.28,Regular,54,83.29,10606.17,14088.0
GOA-DEL,AirVista,Premium Economy,1.45,Peak,7,123.01,9610.55,25000.0
DEL-MUM,AirVista,Economy,1.35,Holiday,77,95.3,6295.48,11425.02
CHN-KOL,BharatAir,Business,0.96,Peak,77,116.04,9016.54,18007.37
CHN-KOL,BharatAir,Economy,1.39,Off-Peak,117,92.54,7035.99,9303.21
BLR-DEL,SkyJet,Economy,0.82,Holiday,60,115.16,8877.87,8141.88
DEL-MUM,FlyIndia,Economy,0.97,Off-Peak,175,121.6,3116.47,4923.29
DEL-MUM,BharatAir,Economy,0.71,Off-Peak,169,113.12,3607.25,4764.85
DEL-MUM,AirVista,Economy,0.61,Off-Peak,123,120.96,10258.39,3612.53
PUNE-BLR,SkyJet,Premium Economy,0.96,Regular,124,99.44,9890.21,6149.34
GOA-DEL,AirVista,Economy,0.95,Off-Peak,151,116.18,4839.2,6112.39
DEL-MUM,IndiSky,Premium Economy,1.23,Regular,42,86.45,6034.88,13103.85
PUNE-BLR,BharatAir,Economy,0.87,Peak,171,112.58,8589.29,5174.69
PUNE-BLR,IndiSky,Economy,1.25,Holiday,89,115.24,2707.31,10305.57
BLR-DEL,SkyJet,Premium Economy,1.5,Regular,156,110.67,8118.54,11877.99
GOA-DEL,BharatAir,Economy,0.98,Holiday,150,110.99,11428.71,7196.61
GOA-DEL,AirVista,Premium Economy,0.61,Peak,107,117.35,6010.66,8876.84
HYD-BOM,AirVista,Economy,0.66,Regular,30,99.87,6288.77,5047.31
DEL-MUM,BharatAir,Premium Economy,0.96,Holiday,94,129.31,5908.09,10133.97
HYD-BOM,BharatAir,Premium Economy,0.66,Holiday,107,124.37,5306.19,6421.67
CHN-KOL,SkyJet,Economy,0.84,Off-Peak,171,89.15,5429.25,5370.0
HYD-BOM,AirVista,Economy,1.31,Holiday,177,88.55,11498.21,7237.23
HYD-BOM,AirVista,Economy,1.49,Peak,57,105.27,10610.12,13814.21
CHN-KOL,IndiSky,Economy,1.3,Off-Peak,101,113.22,3227.67,9665.74
HYD-BOM,FlyIndia,Economy,0.74,Off-Peak,16,82.16,4471.0,6794.63
GOA-DEL,BharatAir,Economy,0.93,Regular,157,96.68,8063.24,5992.5
BLR-DEL,SkyJet,Economy,1.1,Regular,58,125.24,2602.7,10326.34
DEL-MUM,BharatAir,Economy,1.35,Off-Peak,105,128.72,9432.22,9761.55
BLR-DEL,SkyJet,Economy,1.08,Off-Peak,19,94.29,3343.48,11350.33
DEL-MUM,FlyIndia,Economy,1.37,Peak,144,129.22,4331.31,10005.53
GOA-DEL,SkyJet,Economy,0.95,Holiday,95,125.35,8390.7,9255.14
HYD-BOM,SkyJet,Premium Economy,0.75,Holiday,41,100.45,8235.21,8777.01
GOA-DEL,AirVista,Economy,0.9,Holiday,165,101.35,7954.4,5479.95
GOA-DEL,BharatAir,Premium Economy,1.21,Holiday,129,93.36,11817.15,13841.79
PUNE-BLR,FlyIndia,Premium Economy,1.09,Holiday,152,97.08,8214.95,7892.97
DEL-MUM,FlyIndia,Economy,1.08,Peak,155,120.54,6938.71,7301.57
HYD-BOM,BharatAir,Economy,0.67,Regular,43,107.72,4375.39,5847.44
GOA-DEL,FlyIndia,Premium Economy,1.13,Off-Peak,178,103.75,5385.96,8600.46
CHN-KOL,FlyIndia,Premium Economy,1.46,Off-Peak,141,85.39,9363.76,12210.88
PUNE-BLR,BharatAir,Business,1.07,Regular,87,127.48,10131.12,12698.06
PUNE-BLR,IndiSky,Economy,1.26,Peak,47,121.14,11203.35,12382.21
HYD-BOM,IndiSky,Economy,1.3,Regular,155,115.12,11261.72,6000.76
DEL-MUM,FlyIndia,Economy,1.22,Holiday,79,87.63,11894.78,10165.26
HYD-BOM,AirVista,Economy,0.65,Off-Peak,89,100.42,5430.89,4101.77
PUNE-BLR,AirVista,Economy,1.21,Holiday,66,94.06,7426.74,10537.57
GOA-DEL,AirVista,Economy,0.73,Holiday,121,80.7,9850.87,7543.28
CHN-KOL,FlyIndia,Economy,1.14,Holiday,41,98.82,8072.18,11645.2
BLR-DEL,AirVista,Premium Economy,0.92,Regular,120,108.48,5251.72,8117.21
CHN-KOL,BharatAir,Economy,0.67,Peak,11,103.66,8443.8,8468.71
HYD-BOM,BharatAir,Economy,1.08,Off-Peak,116,84.42,5055.6,6261.79
DEL-MUM,SkyJet,Premium Economy,1.11,Regular,57,91.19,10566.1,12510.11
HYD-BOM,AirVista,Premium Economy,0.61,Peak,90,100.07,4627.17,7126.53
HYD-BOM,FlyIndia,Economy,1.17,Off-Peak,115,106.25,8303.52,7347.26
PUNE-BLR,FlyIndia,Premium Economy,1.27,Peak,117,84.42,5414.27,10770.29
CHN-KOL,BharatAir,Economy,1.23,Off-Peak,115,106.21,3721.74,8835.59
HYD-BOM,BharatAir,Economy,1.22,Off-Peak,141,91.98,3934.45,6341.6
DEL-MUM,BharatAir,Premium Economy,0.93,Regular,141,88.63,2577.27,7732.3
GOA-DEL,FlyIndia,Economy,1.42,Regular,60,101.88,8341.44,12950.42
CHN-KOL,IndiSky,Economy,0.88,Regular,173,83.96,10607.6,4364.37
DEL-MUM,AirVista,Economy,0.87,Regular,165,114.22,8887.09,5418.47
HYD-BOM,SkyJet,Economy,0.65,Holiday,39,118.81,3243.22,5637.09
CHN-KOL,IndiSky,Economy,1.26,Off-Peak,110,103.48,7996.34,9719.73
CHN-KOL,AirVista,Premium Economy,1.49,Peak,148,103.77,10980.22,15300.89
PUNE-BLR,IndiSky,Premium Economy,0.96,Regular,129,125.01,8147.64,7436.03
GOA-DEL,SkyJet,Premium Economy,0.87,Peak,148,103.92,9343.93,9264.77
DEL-MUM,IndiSky,Business,0.88,Holiday,86,99.46,3374.37,12771.14
GOA-DEL,IndiSky,Premium Economy,1.02,Peak,137,84.64,6719.08,11455.96
GOA-DEL,IndiSky,Economy,0.68,Peak,50,123.71,3718.16,7999.76
DEL-MUM,AirVista,Premium Economy,1.15,Off-Peak,145,96.43,6366.71,8372.29
BLR-DEL,IndiSky,Economy,1.07,Holiday,164,116.86,11061.48,7784.85
BLR-DEL,SkyJet,Premium Economy,1.38,Holiday,3,96.54,11273.96,20902.03
PUNE-BLR,BharatAir,Economy,1.04,Peak,155,114.26,7045.34,7164.12
DEL-MUM,BharatAir,Economy,1.24,Holiday,92,125.58,4163.38,10112.22
CHN-KOL,BharatAir,Economy,0.64,Peak,163,111.11,8793.11,4582.94
PUNE-BLR,FlyIndia,Economy,1.18,Holiday,175,98.64,6101.35,6165.09
DEL-MUM,IndiSky,Economy,1.13,Regular,123,112.74,3502.04,7763.77
GOA-DEL,IndiSky,Economy,0.67,Holiday,87,108.57,11598.58,7028.3
CHN-KOL,FlyIndia,Economy,1.09,Peak,3,119.33,8519.27,13857.16
CHN-KOL,IndiSky,Economy,0.75,Holiday,108,95.81,8837.4,5721.44
PUNE-BLR,BharatAir,Premium Economy,0.72,Holiday,0,113.01,5201.07,9099.32
CHN-KOL,AirVista,Economy,1.47,Off-Peak,154,87.93,11857.97,8239.46
BLR-DEL,IndiSky,Premium Economy,1.14,Off-Peak,130,114.1,6805.66,10673.92
PUNE-BLR,FlyIndia,Economy,1.34,Off-Peak,46,121.49,2825.8,10857.3
CHN-KOL,BharatAir,Economy,0.61,Peak,83,89.38,8561.58,5506.54
HYD-BOM,BharatAir,Business,1.16,Holiday,59,112.49,7448.47,18690.76
DEL-MUM,BharatAir,Premium Economy,0.79,Holiday,107,87.82,2641.17,7366.07
GOA-DEL,IndiSky,Business,1.34,Holiday,83,116.77,9553.14,24101.67
PUNE-BLR,BharatAir,Premium Economy,1.12,Regular,18,107.74,8420.63,11240.04
CHN-KOL,IndiSky,Business,1.0,Peak,50,83.6,11396.13,20545.23
PUNE-BLR,IndiSky,Economy,1.38,Holiday,2,84.71,3234.13,12876.67
HYD-BOM,FlyIndia,Premium Economy,0.91,Regular,43,104.5,6709.03,9451.38
BLR-DEL,SkyJet,Economy,1.18,Peak,89,123.82,11315.05,12596.22
PUNE-BLR,BharatAir,Premium Economy,1.49,Regular,16,112.06,8357.01,15621.77
PUNE-BLR,BharatAir,Premium Economy,1.21,Regular,128,129.3,4257.38,8411.41
CHN-KOL,BharatAir,Economy,0.97,Holiday,132,129.43,8591.56,7485.73
DEL-MUM,BharatAir,Premium Economy,0.64,Holiday,1,85.66,7863.73,8099.64
CHN-KOL,SkyJet,Economy,1.06,Holiday,107,102.58,9445.82,8871.8
CHN-KOL,BharatAir,Economy,0.78,Regular,61,91.72,11659.89,6162.46
GOA-DEL,IndiSky,Economy,1.2,Off-Peak,66,80.99,4481.83,10806.05
PUNE-BLR,BharatAir,Economy,1.31,Off-Peak,92,125.8,5745.17,8960.9
HYD-BOM,SkyJet,Economy,1.41,Holiday,105,100.32,7740.67,10081.0
GOA-DEL,BharatAir,Premium Economy,1.43,Off-Peak,26,105.6,10392.1,18714.09
PUNE-BLR,IndiSky,Economy,1.44,Regular,48,85.31,5809.96,9816.24
DEL-MUM,IndiSky,Premium Economy,1.32,Regular,158,101.13,11436.8,9393.46
PUNE-BLR,FlyIndia,Economy,1.34,Peak,2,106.03,10087.76,14380.16
DEL-MUM,SkyJet,Premium Economy,0.97,Peak,70,114.9,9672.27,13031.23
DEL-MUM,BharatAir,Business,1.09,Peak,133,119.93,8192.7,15094.09
DEL-MUM,FlyIndia,Economy,1.3,Holiday,94,118.17,10464.73,10264.22
PUNE-BLR,AirVista,Economy,1.44,Peak,81,129.28,4367.94,12119.24
DEL-MUM,AirVista,Business,1.08,Regular,16,110.45,7956.75,17174.29
BLR-DEL,FlyIndia,Economy,0.92,Holiday,177,99.92,9719.56,6138.98
DEL-MUM,BharatAir,Business,0.95,Peak,96,80.8,3409.81,14099.4
CHN-KOL,SkyJet,Economy,0.74,Off-Peak,2,107.87,6689.16,7371.86
BLR-DEL,AirVista,Business,1.0,Off-Peak,119,127.51,5420.21,12950.54
DEL-MUM,SkyJet,Economy,0.79,Holiday,30,89.2,3136.22,7804.37
PUNE-BLR,IndiSky,Economy,0.74,Peak,159,89.7,4790.37,4302.15
CHN-KOL,BharatAir,Economy,1.28,Regular,7,89.93,4803.57,12079.29
PUNE-BLR,IndiSky,Business,1.46,Holiday,22,91.44,10622.04,24127.03
BLR-DEL,AirVista,Economy,1.05,Peak,115,101.78,10127.73,8842.7
DEL-MUM,SkyJet,Economy,1.13,Holiday,94,86.16,5166.82,9092.74
DEL-MUM,SkyJet,Premium Economy,0.75,Peak,143,84.32,5803.06,6911.04
CHN-KOL,AirVista,Economy,1.22,Peak,158,109.81,5809.73,9219.03
DEL-MUM,AirVista,Economy,1.22,Holiday,133,121.41,10892.21,8511.78
BLR-DEL,SkyJet,Premium Economy,1.16,Holiday,77,126.31,8509.98,15149.79
DEL-MUM,BharatAir,Economy,1.28,Peak,170,101.29,10399.32,9075.69
DEL-MUM,AirVista,Economy,1.41,Off-Peak,159,101.48,5043.3,8818.03
DEL-MUM,AirVista,Economy,1.11,Holiday,126,91.1,6617.7,8517.25
PUNE-BLR,BharatAir,Economy,1.04,Off-Peak,171,118.78,11259.74,4734.66
PUNE-BLR,SkyJet,Economy,1.01,Regular,97,127.47,11324.92,7069.79
PUNE-BLR,FlyIndia,Economy,0.63,Off-Peak,60,107.56,10139.61,3995.89
BLR-DEL,IndiSky,Economy,1.13,Peak,25,109.65,7088.79,13973.64
BLR-DEL,BharatAir,Economy,1.15,Holiday,96,97.08,4492.12,10080.77
PUNE-BLR,SkyJet,Economy,1.12,Peak,153,94.05,5807.25,6779.98
BLR-DEL,FlyIndia,Premium Economy,1.4,Off-Peak,125,110.1,7846.49,12656.19
DEL-MUM,SkyJet,Economy,1.08,Regular,146,83.75,3621.25,5978.0
CHN-KOL,AirVista,Business,1.43,Off-Peak,18,86.92,5322.23,24511.38
DEL-MUM,FlyIndia,Economy,1.08,Holiday,112,109.21,5462.74,8756.53
CHN-KOL,SkyJet,Economy,1.49,Holiday,96,84.03,4765.73,13323.01
DEL-MUM,AirVista,Economy,0.82,Peak,52,85.95,8883.59,7236.05
CHN-KOL,AirVista,Premium Economy,0.7,Peak,97,103.22,8012.31,7979.72
DEL-MUM,AirVista,Economy,1.3,Regular,139,110.59,9838.87,8362.46
CHN-KOL,FlyIndia,Economy,1.16,Holiday,47,126.25,8384.54,12145.69
GOA-DEL,AirVista,Economy,0.81,Off-Peak,40,104.02,8593.5,7998.27
CHN-KOL,SkyJet,Economy,0.64,Off-Peak,98,87.02,6633.58,4904.86
GOA-DEL,FlyIndia,Economy,0.64,Regular,0,119.7,3168.22,7486.46
HYD-BOM,AirVista,Premium Economy,0.87,Holiday,18,115.28,3678.95,10276.71
HYD-BOM,BharatAir,Premium Economy,1.25,Off-Peak,164,110.62,10161.13,9089.91
DEL-MUM,FlyIndia,Economy,1.07,Peak,127,127.69,9880.37,7512.32
BLR-DEL,IndiSky,Economy,1.01,Peak,92,110.5,6269.37,9841.72
PUNE-BLR,FlyIndia,Economy,0.85,Holiday,11,83.61,10465.26,8618.19
HYD-BOM,FlyIndia,Premium Economy,1.4,Holiday,110,107.42,3208.66,12979.85
CHN-KOL,FlyIndia,Economy,0.75,Off-Peak,133,90.18,8103.41,5019.97
HYD-BOM,FlyIndia,Economy,0.61,Regular,115,127.31,11083.45,3942.85
HYD-BOM,IndiSky,Economy,0.77,Off-Peak,160,109.0,10270.12,4507.31
DEL-MUM,IndiSky,Economy,1.32,Peak,24,95.36,3778.68,14658.07
DEL-MUM,IndiSky,Economy,1.19,Holiday,19,93.21,5959.01,11451.89
CHN-KOL,FlyIndia,Economy,1.18,Holiday,131,105.19,5808.75,8533.67
CHN-KOL,AirVista,Business,1.32,Regular,93,119.1,7892.37,18325.38
PUNE-BLR,FlyIndia,Premium Economy,0.94,Off-Peak,10,90.04,7969.26,10349.34
DEL-MUM,FlyIndia,Economy,1.47,Peak,105,82.0,6248.57,11322.93
BLR-DEL,SkyJet,Economy,1.4,Off-Peak,33,95.82,11866.43,13275.98
HYD-BOM,BharatAir,Economy,1.16,Regular,110,101.72,3998.21,7359.54
BLR-DEL,BharatAir,Economy,1.01,Regular,75,87.74,5606.36,8576.32
HYD-BOM,SkyJet,Economy,0.6,Off-Peak,156,104.62,9460.29,2500.0
CHN-KOL,IndiSky,Economy,0.79,Regular,175,91.93,6289.87,3860.97
CHN-KOL,FlyIndia,Economy,0.98,Holiday,77,117.92,4309.74,9000.58
GOA-DEL,IndiSky,Business,1.4,Off-Peak,30,104.91,4649.11,25000.0
BLR-DEL,SkyJet,Economy,0.94,Regular,138,96.3,3235.59,6580.07
GOA-DEL,FlyIndia,Economy,1.26,Regular,168,93.67,11722.61,8663.12
CHN-KOL,FlyIndia,Economy,0.95,Holiday,170,117.48,5567.79,6052.8
CHN-KOL,BharatAir,Economy,0.77,Regular,78,98.71,3851.15,6529.56
PUNE-BLR,FlyIndia,Economy,1.21,Peak,22,88.69,3890.3,11913.17
HYD-BOM,IndiSky,Economy,1.06,Off-Peak,98,111.32,11587.06,6527.16
BLR-DEL,AirVista,Economy,0.7,Peak,24,124.89,4952.73,9111.55
CHN-KOL,FlyIndia,Premium Economy,1.36,Peak,52,125.65,7832.97,19944.94
PUNE-BLR,FlyIndia,Economy,0.63,Holiday,130,115.94,11103.76,3788.34
HYD-BOM,AirVista,Economy,1.05,Off-Peak,98,96.4,2700.06,6643.6
BLR-DEL,IndiSky,Economy,1.36,Regular,10,86.47,3683.32,13522.1
PUNE-BLR,IndiSky,Premium Economy,0.81,Holiday,53,119.16,4431.67,8724.86
HYD-BOM,IndiSky,Economy,1.27,Peak,165,80.43,11181.85,8568.86
BLR-DEL,IndiSky,Economy,0.96,Regular,155,129.53,11813.85,6411.75
