stock_symbol,sector,days_since_listing,avg_trading_volume,pe_ratio,market_sentiment,quarterly_growth_percent,gdp_growth_percent,inflation_rate_percent,recent_news_score,beta_value,forecast_price_inr
ADANIENT,Banking,1229,1272871.0,5.0,0.81,-8.14,4.26,3.65,-1.73,0.91,123.99
HDFCBANK,IT,3261,629394.0,18.03,-0.79,23.01,8.06,3.84,0.79,1.08,189.3
WIPRO,Energy,4209,1316729.0,31.81,-0.24,4.6,6.83,5.83,-0.65,0.76,171.22
INFY,Banking,2530,1278194.0,17.61,0.01,1.79,4.71,5.02,-0.35,1.13,148.73
WIPRO,IT,866,893472.0,19.31,-0.05,21.82,6.96,3.76,-0.95,1.14,175.75
WIPRO,Infrastructure,4487,429333.0,11.18,0.83,-1.99,7.03,4.28,1.51,0.95,126.88
SBIN,Energy,1119,1000001.0,31.93,-0.14,2.48,8.09,5.25,-0.65,0.88,175.38
RELIANCE,Banking,2206,1042750.0,23.07,-0.18,1.15,6.08,7.2,-1.18,0.92,152.8
RELIANCE,IT,772,1191629.0,10.39,-0.35,-4.76,7.07,5.13,-1.04,0.56,108.77
HDFCBANK,Finance,4473,991862.0,36.16,-0.33,-8.58,6.27,7.62,0.88,1.19,177.77
SBIN,Banking,3109,544207.0,23.89,-0.97,14.44,8.1,4.79,0.98,0.98,169.1
SBIN,Infrastructure,369,1177049.0,17.01,-0.99,27.43,7.93,5.97,-1.51,1.01,203.44
RELIANCE,IT,4491,1025034.0,27.9,0.47,-6.35,6.55,3.5,0.2,1.05,129.28
INFY,IT,296,877488.0,33.26,-0.13,0.06,7.87,4.39,0.94,1.39,177.62
SBIN,Banking,476,855955.0,17.49,0.58,21.16,7.37,5.63,0.99,0.95,192.72
LT,IT,595,862505.0,22.66,0.75,-5.8,4.28,5.6,0.89,1.0,137.23
ADANIENT,Infrastructure,4065,979643.0,5.0,0.15,24.91,3.66,3.61,1.21,1.05,196.73
ICICIBANK,Finance,2185,985737.0,19.53,-0.74,22.48,3.38,5.09,1.94,0.75,198.01
ICICIBANK,Finance,2421,1222466.0,14.69,-0.65,-2.74,8.8,7.5,-1.39,0.89,96.09
INFY,IT,2317,1092863.0,9.3,0.24,15.18,7.92,3.1,1.24,1.35,203.29
SBIN,IT,4690,1272311.0,34.61,0.87,26.4,8.37,3.97,-1.19,0.96,222.37
ADANIENT,Finance,93,1403762.0,24.02,0.28,21.73,8.12,7.15,0.66,1.06,220.49
RELIANCE,Energy,1133,870798.0,18.75,-0.92,8.69,3.7,5.76,-0.97,0.78,134.06
INFY,Energy,3696,1219160.0,18.36,0.77,-9.56,5.25,6.09,-0.42,1.1,152.56
ADANIENT,Banking,2110,1379045.0,23.02,0.17,-9.94,4.73,3.0,0.6,0.73,99.53
HDFCBANK,Finance,2824,1120901.0,31.86,0.82,-2.1,8.91,4.35,0.55,0.78,218.5
WIPRO,Finance,2627,600702.0,15.66,0.13,16.91,3.14,4.57,-1.88,0.9,176.5
ITC,Energy,1027,882653.0,22.65,0.17,-2.36,6.9,5.62,0.46,0.66,153.14
ITC,IT,1694,1056428.0,20.44,0.19,7.7,3.12,4.18,-1.58,1.04,161.28
TCS,Infrastructure,119,1032744.0,29.63,0.21,4.45,6.57,3.14,-0.93,1.05,179.02
HDFCBANK,Infrastructure,1513,905940.0,40.24,0.93,4.34,3.08,3.55,1.82,0.81,214.87
LT,Infrastructure,1445,585448.0,19.96,-0.73,9.18,5.65,6.49,-1.02,1.39,183.67
TCS,Banking,4609,1028435.0,27.97,0.88,29.1,4.51,4.83,-1.97,1.14,218.61
INFY,Infrastructure,691,984162.0,36.96,0.1,26.89,6.04,6.82,0.68,1.06,244.86
ITC,Banking,2359,452859.0,12.07,0.37,25.73,3.69,7.21,0.28,0.79,157.79
LT,Energy,324,804422.0,14.32,-0.84,18.41,3.55,7.7,0.25,1.21,185.51
HDFCBANK,Banking,1628,1270683.0,24.34,0.73,8.09,7.09,3.07,-0.91,1.19,206.3
INFY,Finance,2991,1129265.0,28.12,0.09,-1.02,6.81,4.45,-1.0,0.92,171.5
SBIN,Infrastructure,3564,904646.0,12.39,0.97,9.01,4.71,6.62,-0.83,0.83,149.68
ITC,IT,2614,449520.0,30.92,0.75,-1.97,5.21,4.91,-0.45,0.68,193.98
ITC,IT,4950,719565.0,23.7,0.5,10.14,7.25,6.76,-1.2,1.03,153.38
RELIANCE,Finance,975,1394828.0,27.44,-0.42,0.19,3.29,4.92,1.81,1.21,181.45
ADANIENT,IT,4793,877184.0,22.79,0.26,21.07,3.17,6.83,-1.61,0.64,173.95
WIPRO,Infrastructure,472,691825.0,17.17,-0.2,20.93,6.78,6.77,-0.88,0.95,160.07
LT,IT,1756,766915.0,13.0,-0.78,20.71,7.88,7.17,0.48,1.39,197.64
TCS,Banking,2245,1111659.0,39.75,-0.94,27.03,6.53,7.83,0.38,1.21,244.37
TCS,Finance,3310,1254803.0,38.51,-0.72,20.06,7.48,3.99,0.3,0.9,232.11
ITC,Infrastructure,4098,781663.0,25.57,-0.06,20.97,8.55,4.38,-1.81,1.25,202.9
LT,Banking,2809,832107.0,31.16,-0.39,20.56,8.03,3.44,0.19,0.97,212.46
TCS,Energy,4695,922209.0,12.7,-0.48,12.48,6.14,5.1,-1.58,1.25,186.25
HDFCBANK,Energy,1670,802973.0,20.8,-0.13,8.06,7.8,7.09,-1.08,0.91,183.65
ICICIBANK,Banking,221,1136505.0,29.42,0.35,-0.89,4.59,4.32,0.95,1.08,188.6
LT,Finance,4573,488261.0,40.25,0.51,13.04,7.0,7.12,1.0,1.17,223.98
TCS,Finance,767,1215479.0,32.62,-0.75,14.9,3.02,7.81,0.51,0.78,147.26
ADANIENT,Banking,4108,820551.0,27.56,-0.38,6.47,8.93,6.63,-1.54,0.87,154.59
WIPRO,Energy,2531,848005.0,31.08,-0.73,-5.47,4.95,4.76,-1.1,1.04,161.4
WIPRO,Banking,4456,1187092.0,32.36,0.15,17.96,7.09,3.28,-0.17,1.04,209.76
TCS,IT,944,1046655.0,30.24,0.26,-8.21,8.58,4.0,0.84,1.07,157.2
RELIANCE,Finance,2434,984919.0,24.41,-0.19,25.18,6.19,5.08,-0.41,0.96,199.47
INFY,IT,3378,733126.0,42.83,0.52,0.86,5.61,3.25,1.45,1.0,231.82
ADANIENT,Infrastructure,2148,749315.0,26.37,0.66,21.9,5.19,7.39,-1.1,1.0,216.81
INFY,IT,4760,1211715.0,19.36,0.85,-4.85,4.6,5.75,1.48,0.88,126.46
LT,Infrastructure,4789,1743825.0,32.87,0.61,3.67,5.42,6.77,-1.79,1.36,174.2
ITC,Infrastructure,2608,788224.0,29.27,0.19,9.2,6.52,7.67,0.51,0.73,212.51
LT,IT,1683,880859.0,17.41,0.94,28.48,5.86,5.86,1.58,0.97,192.6
RELIANCE,Energy,4742,1064578.0,21.97,0.47,11.2,3.27,7.55,-1.71,0.86,190.5
HDFCBANK,IT,3158,1054671.0,21.46,0.28,9.52,4.05,5.42,1.39,1.02,172.27
SBIN,Infrastructure,2716,1068596.0,20.2,0.53,2.48,8.26,3.42,-0.57,0.84,174.71
INFY,Banking,4362,1353189.0,15.59,0.59,9.69,3.95,6.6,1.74,1.13,184.53
ITC,Energy,1653,923031.0,16.55,-0.74,24.21,3.26,4.08,0.29,1.24,210.24
WIPRO,IT,654,1080076.0,21.45,-0.82,8.82,5.61,4.96,-0.63,0.93,207.98
ICICIBANK,Energy,2546,925748.0,11.41,-0.12,0.48,3.19,6.48,1.92,0.89,125.77
ICICIBANK,Energy,4062,1372441.0,19.05,0.93,-0.04,6.14,3.01,1.2,1.24,161.4
INFY,Infrastructure,1362,1235346.0,29.19,0.07,-6.89,6.98,3.6,-1.4,1.02,153.84
WIPRO,Energy,2272,614545.0,30.65,0.92,12.8,4.86,4.87,-1.3,0.79,178.95
LT,Infrastructure,4630,952837.0,12.07,0.52,17.06,6.37,6.45,-0.54,1.23,161.42
ICICIBANK,Banking,1306,1085990.0,28.04,-0.67,25.46,3.29,3.82,-1.54,0.87,239.05
RELIANCE,Infrastructure,84,1316149.0,31.37,-0.21,-6.44,8.0,4.4,1.19,0.96,173.5
RELIANCE,IT,2277,1326294.0,47.18,-0.23,0.26,7.41,5.45,1.85,1.02,248.02
LT,IT,369,856325.0,8.46,0.64,-9.26,8.39,5.97,-1.92,1.1,139.33
HDFCBANK,Finance,2633,1362569.0,32.35,-0.08,4.99,8.03,7.06,1.33,0.86,205.27
ICICIBANK,IT,3851,1347512.0,33.94,-0.95,-9.62,3.62,6.19,-1.51,1.1,148.14
RELIANCE,IT,1945,1228968.0,28.19,0.7,2.17,5.13,7.32,1.33,0.91,186.33
ICICIBANK,Infrastructure,1917,1098765.0,34.15,-0.2,29.01,6.8,3.04,1.98,0.82,269.02
WIPRO,Banking,4678,939608.0,37.06,-0.04,15.59,6.14,3.29,-0.32,1.01,232.76
RELIANCE,Infrastructure,4579,1550409.0,9.93,-0.46,28.11,3.51,7.66,-1.39,0.68,157.02
LT,Finance,4869,674369.0,38.85,-0.54,-6.72,5.01,3.69,0.52,1.02,160.84
LT,Finance,4932,725004.0,16.5,0.84,11.49,8.99,5.39,-0.93,0.98,159.36
INFY,IT,2797,1162263.0,38.21,0.23,27.46,5.34,4.01,-1.13,1.33,261.86
SBIN,Infrastructure,1817,1059419.0,22.39,-0.15,-3.53,8.5,5.41,0.47,0.87,182.68
SBIN,Infrastructure,108,810024.0,26.37,-0.8,1.3,8.73,3.39,-0.66,1.13,132.97
INFY,Finance,840,906099.0,19.21,0.08,21.53,7.86,6.0,-0.77,0.9,167.5
ICICIBANK,IT,918,564842.0,37.26,-0.03,9.32,8.28,7.48,-0.53,0.9,188.19
TCS,Energy,1886,839303.0,33.33,-0.39,13.86,6.5,5.74,-0.77,1.02,240.26
ADANIENT,Infrastructure,4599,916487.0,25.01,-0.83,3.5,6.19,3.92,-1.98,1.21,147.68
RELIANCE,Finance,329,800875.0,26.99,0.38,20.91,7.34,4.75,-1.38,1.28,172.67
WIPRO,Energy,3984,1139068.0,38.9,0.87,6.21,5.02,5.38,-1.7,0.83,185.38
SBIN,Infrastructure,1078,911445.0,21.4,-0.66,20.27,8.59,3.7,0.36,0.78,206.99
HDFCBANK,Energy,3618,562689.0,25.99,-0.87,24.13,3.55,6.57,-1.69,0.8,212.62
INFY,Finance,2585,899632.0,27.64,0.72,19.94,4.92,6.13,1.86,1.24,254.3
RELIANCE,Energy,297,674016.0,40.49,-0.39,5.98,7.07,3.81,1.34,1.19,214.42
SBIN,Infrastructure,2182,844894.0,31.15,0.44,17.44,5.06,4.8,0.55,0.79,224.15
ITC,IT,3960,992958.0,18.9,-0.5,9.1,8.31,3.45,-0.05,1.19,151.89
INFY,Banking,3265,1615057.0,27.64,0.41,16.85,5.17,5.28,-1.26,0.99,211.72
RELIANCE,Infrastructure,4602,784423.0,19.36,0.66,-7.4,8.25,4.07,-1.9,1.08,151.35
SBIN,Finance,2391,944989.0,22.33,0.32,-5.34,7.16,6.08,1.44,0.67,164.1
TCS,Banking,3492,572259.0,18.75,0.64,22.67,4.44,3.2,-1.03,0.73,211.05
LT,IT,3221,484865.0,25.55,-0.22,21.12,7.42,5.23,1.41,1.3,236.66
ICICIBANK,Banking,2121,1190362.0,35.8,0.45,-0.15,4.93,3.05,1.89,0.79,173.71
WIPRO,Finance,219,912669.0,26.3,-0.74,4.88,7.9,5.51,-0.39,0.69,130.15
ITC,Banking,2438,947215.0,28.91,0.3,15.64,4.27,6.78,-1.82,0.68,174.73
ITC,Banking,4836,1234891.0,41.21,0.41,-9.13,4.75,4.58,-0.06,1.54,155.62
ICICIBANK,IT,4916,904625.0,23.4,0.23,13.66,8.01,5.59,1.91,0.74,205.51
RELIANCE,Energy,1642,981272.0,22.01,0.24,27.59,3.69,3.98,1.63,1.14,233.85
ICICIBANK,Banking,2143,1102486.0,19.91,0.49,4.78,7.89,3.05,-0.88,0.82,155.54
ITC,Finance,3438,957667.0,29.82,-0.21,5.95,8.79,6.42,-0.3,0.63,183.98
ICICIBANK,Energy,455,936635.0,22.97,0.97,4.35,8.3,7.41,-1.34,0.59,190.51
SBIN,Infrastructure,4670,1029060.0,33.33,0.77,1.82,6.08,4.15,-0.02,0.82,215.95
HDFCBANK,Finance,2929,799050.0,19.15,-0.63,2.33,5.73,7.25,-0.51,0.74,149.05
ADANIENT,Banking,4641,982076.0,30.78,-0.66,27.89,6.31,4.2,-0.62,1.15,248.94
ITC,Banking,779,1057170.0,38.97,0.01,24.15,3.76,7.45,-0.41,0.8,240.36
INFY,Finance,3687,1302243.0,29.43,0.33,-6.94,4.08,7.17,1.85,0.96,151.56
WIPRO,Banking,1648,929263.0,19.2,-0.91,-1.7,3.09,5.86,1.59,1.13,143.93
ITC,Energy,3244,1121659.0,14.03,-0.33,13.42,7.91,5.76,-0.37,1.31,168.61
TCS,Infrastructure,3771,1387131.0,30.92,0.81,-9.57,6.51,5.12,-1.2,0.93,147.94
WIPRO,Energy,2698,1013077.0,24.82,0.95,19.19,8.86,7.25,-1.92,0.86,216.68
HDFCBANK,IT,1097,1345652.0,18.64,-0.43,-6.45,5.34,4.66,-0.46,0.61,106.89
ADANIENT,IT,4081,713921.0,27.63,0.97,-2.29,7.3,6.66,-1.49,0.69,188.9
INFY,Banking,2805,915439.0,32.72,0.81,14.8,8.41,6.46,0.35,1.22,221.68
INFY,Energy,4037,991550.0,22.68,-0.18,14.15,4.06,7.96,0.57,0.87,162.93
WIPRO,Infrastructure,3319,1154291.0,17.69,-0.15,12.97,8.23,3.12,-1.2,1.15,187.87
ITC,Energy,3399,1245994.0,14.81,-0.47,29.23,4.12,5.9,1.11,1.06,188.28
RELIANCE,Infrastructure,4550,942676.0,26.26,-0.32,14.06,5.1,3.79,0.48,1.03,181.04
TCS,Infrastructure,856,1202954.0,42.29,0.62,8.69,5.34,3.99,-0.03,0.71,198.54
ITC,Finance,1307,938353.0,35.66,0.11,-2.1,7.66,6.88,-0.6,0.67,160.81
RELIANCE,Banking,1600,1568248.0,13.44,-0.05,2.15,5.13,3.6,-1.79,1.0,157.81
TCS,Infrastructure,139,853941.0,25.15,-0.78,18.9,5.5,8.0,0.12,1.17,206.93
SBIN,Finance,4857,246367.0,30.72,0.9,22.13,8.47,5.6,-1.88,1.14,238.07
WIPRO,Energy,1499,858277.0,26.8,0.65,26.65,5.77,6.62,0.39,0.78,236.05
WIPRO,Finance,2532,1301211.0,24.33,0.4,26.89,7.67,6.19,1.96,1.06,237.09
WIPRO,Energy,705,668236.0,24.21,-0.69,29.56,4.37,3.35,1.48,1.02,192.28
INFY,IT,4966,1191212.0,44.4,-0.18,2.34,8.27,3.71,1.33,1.14,228.54
LT,Energy,1620,803151.0,24.42,-0.44,10.74,8.51,5.15,1.9,0.76,182.98
ADANIENT,Banking,2979,920193.0,32.2,-0.97,20.95,3.18,4.9,-1.08,0.53,171.19
TCS,IT,53,986389.0,21.91,-0.25,13.46,8.1,7.95,0.44,0.65,176.42
SBIN,IT,4752,1014687.0,30.75,0.14,1.59,4.94,3.75,-0.32,1.38,175.41
LT,Infrastructure,4502,935571.0,23.2,-0.05,15.03,5.51,5.91,0.69,1.03,181.29
ITC,Finance,1153,214323.0,10.52,-0.82,0.76,3.55,7.31,-1.51,1.05,97.01
WIPRO,Banking,4115,945735.0,30.85,-0.55,23.96,6.15,7.73,-0.11,1.19,178.84
ICICIBANK,Infrastructure,4611,1011532.0,19.36,-0.2,-1.04,8.12,4.69,0.36,0.83,156.88
ITC,Finance,1406,975042.0,21.41,0.05,14.44,8.89,4.31,1.51,0.86,210.63
LT,Finance,1471,757612.0,28.86,-0.82,2.27,7.69,5.98,0.66,1.16,207.49
ITC,Infrastructure,4732,908150.0,36.56,0.05,-4.86,6.29,7.85,-1.83,0.96,164.38
ICICIBANK,Energy,4019,712990.0,23.36,-0.52,-3.96,5.11,3.93,1.54,0.78,137.79
SBIN,Energy,1591,1026645.0,21.31,-0.65,-9.67,3.09,5.22,-1.75,0.98,117.63
WIPRO,IT,252,820970.0,16.93,-0.12,14.6,4.88,5.74,0.02,0.6,160.47
TCS,Banking,3949,1059677.0,28.02,-0.84,24.14,7.24,6.66,-0.52,1.04,169.36
ICICIBANK,Energy,4134,706866.0,29.26,0.37,16.89,5.56,5.2,1.08,0.92,196.93
ICICIBANK,Finance,2842,1089495.0,30.12,0.55,-6.87,7.04,7.07,-0.49,1.09,174.93
ADANIENT,Finance,722,815725.0,15.51,-0.06,13.14,6.58,3.74,1.04,0.99,185.89
LT,Banking,4338,895328.0,24.66,-0.05,25.71,8.2,7.27,1.85,0.75,198.77
WIPRO,Banking,4244,890185.0,30.93,0.8,13.78,6.17,5.92,1.94,0.74,225.9
WIPRO,IT,3380,1125605.0,29.27,-0.04,18.82,5.16,4.12,-0.13,0.97,213.27
ICICIBANK,Banking,2342,395154.0,48.1,-0.22,-6.32,4.69,5.93,-1.93,1.1,204.12
HDFCBANK,IT,1821,1082828.0,15.38,-0.81,7.76,8.48,5.7,-1.44,0.85,154.48
HDFCBANK,Infrastructure,4972,630052.0,35.46,0.75,-4.87,4.69,3.44,1.42,1.2,195.2
INFY,Banking,2491,646496.0,25.59,-0.34,6.28,4.76,7.83,0.2,0.67,167.84
TCS,Finance,4924,1062256.0,39.58,0.47,26.05,7.59,3.34,-0.12,1.22,272.26
ITC,Finance,4203,1100039.0,33.3,-0.34,26.94,8.31,4.81,0.11,1.22,243.84
HDFCBANK,Energy,123,743894.0,32.12,0.37,9.14,7.92,5.85,-0.06,1.25,211.86
ICICIBANK,Energy,1281,1176685.0,39.93,0.82,-3.0,4.81,7.61,1.97,0.83,197.32
HDFCBANK,Energy,1188,1406580.0,27.35,0.24,16.5,8.25,4.22,1.25,1.02,227.78
TCS,IT,3630,709831.0,33.1,-0.25,5.16,7.59,4.84,0.55,0.98,190.59
HDFCBANK,Infrastructure,79,977111.0,33.44,0.31,-5.78,5.24,5.63,-0.54,0.8,156.59
ADANIENT,Energy,428,793210.0,31.02,0.14,28.31,6.04,3.66,-0.7,1.07,209.4
HDFCBANK,Banking,734,1143026.0,29.67,0.57,15.34,7.27,3.61,0.73,1.08,197.32
LT,Banking,736,837933.0,23.18,-0.37,16.68,8.12,4.57,-0.18,1.14,159.63
ITC,Infrastructure,4849,891877.0,17.44,0.32,1.37,7.18,3.66,-0.74,1.12,128.83
ITC,Finance,4733,855755.0,13.55,-0.68,29.4,4.74,7.5,0.92,0.75,199.34
ITC,Infrastructure,426,654518.0,19.12,0.36,8.13,5.4,4.54,-1.26,0.94,148.98
TCS,Energy,1303,748140.0,17.39,0.66,-8.63,7.56,5.37,-1.46,0.82,177.09
RELIANCE,IT,1217,816675.0,15.34,-0.62,15.52,4.92,6.49,-1.6,0.91,145.98
HDFCBANK,IT,3280,1248858.0,20.52,0.3,10.84,8.84,6.28,1.14,1.03,211.64
TCS,Infrastructure,2455,728733.0,10.27,-0.69,-9.41,5.86,7.39,-0.58,0.91,136.16
TCS,Energy,1795,1079589.0,22.18,0.47,19.7,4.17,6.58,1.44,0.82,215.4
INFY,Infrastructure,1191,804445.0,35.16,0.11,14.93,8.72,4.16,1.53,0.77,236.34
ICICIBANK,Finance,4091,1257505.0,32.89,-0.86,27.46,8.39,4.4,-0.93,0.66,213.92
SBIN,Finance,4610,928001.0,30.89,-0.81,-6.91,4.45,7.23,-1.92,0.74,182.29
WIPRO,Finance,2546,1067977.0,35.93,-0.02,7.72,7.12,4.21,-0.75,0.85,181.64
INFY,Finance,1279,1175803.0,11.46,0.75,27.12,6.62,3.48,1.19,1.15,215.38
ITC,Energy,442,1074257.0,41.38,0.28,14.66,7.07,7.49,1.8,1.04,223.47
INFY,Infrastructure,4591,1770895.0,19.3,0.97,-2.6,5.78,3.35,0.19,0.99,138.09
SBIN,Finance,4560,726926.0,15.86,0.98,15.65,6.59,6.77,-1.89,0.89,184.83
LT,IT,1202,1308556.0,18.02,-0.77,12.58,4.93,5.28,-0.56,1.08,173.57
ITC,Infrastructure,1799,1186759.0,27.54,-0.1,19.25,4.86,3.9,-0.8,0.89,179.74
RELIANCE,Finance,1095,859585.0,18.24,-0.53,28.57,4.25,6.62,-0.58,1.22,211.72
LT,Banking,3915,942564.0,22.94,-0.96,-1.66,3.09,5.83,-0.46,1.04,122.69
ITC,Infrastructure,3798,815661.0,11.27,0.83,3.66,3.59,7.11,0.36,0.7,142.75
ADANIENT,Infrastructure,192,652204.0,33.94,-0.19,12.07,5.25,6.75,-1.26,1.09,165.42
ITC,IT,804,1197460.0,26.59,0.02,23.23,5.42,4.6,1.57,1.22,208.63
WIPRO,Finance,530,887640.0,19.05,-0.79,3.94,6.56,5.67,-1.36,1.37,133.12
TCS,IT,4404,1280828.0,27.45,-0.15,27.63,7.07,6.51,-0.71,0.88,237.31
WIPRO,Banking,1544,833439.0,33.79,0.04,21.95,8.78,7.69,1.82,0.81,231.76
TCS,Infrastructure,2869,1228698.0,12.63,0.4,20.2,8.68,4.66,-0.86,1.02,196.34
RELIANCE,Finance,280,1160299.0,28.85,0.6,13.97,3.57,6.43,-1.5,0.8,186.55
LT,Energy,2143,1095534.0,29.45,0.53,23.54,3.31,3.24,-0.09,1.12,245.78
SBIN,Infrastructure,4959,782365.0,30.83,0.97,-2.13,4.69,3.14,1.04,0.86,172.08
ICICIBANK,Finance,2988,593445.0,17.8,0.22,12.98,3.51,5.33,0.6,1.0,161.74
TCS,Banking,1988,1138377.0,30.53,-0.2,20.4,4.63,3.06,-0.21,0.82,188.95
TCS,IT,466,1130513.0,27.55,-0.97,-6.17,3.97,6.18,0.52,0.6,155.8
ICICIBANK,Energy,3946,1217221.0,9.15,0.11,7.64,8.84,3.5,1.37,0.84,197.83
WIPRO,Finance,2286,100000.0,23.91,0.9,2.3,3.31,6.69,1.74,1.13,205.29
TCS,Banking,1479,742230.0,16.08,-0.63,-7.32,7.97,3.42,-0.0,0.97,185.33
SBIN,Infrastructure,3309,890555.0,35.66,-0.61,-0.36,5.78,4.22,-0.65,1.04,160.84
HDFCBANK,IT,2125,935715.0,23.31,-0.6,-0.3,3.88,3.42,0.38,0.83,180.52
LT,IT,1198,902458.0,28.14,-0.54,24.2,7.35,4.37,1.78,0.7,235.56
RELIANCE,Finance,2623,1002459.0,21.12,-0.13,22.12,8.23,3.36,1.77,0.66,205.5
TCS,Infrastructure,1054,423744.0,26.2,-0.75,1.23,5.15,6.99,0.99,1.05,188.79
ADANIENT,IT,1466,1275493.0,13.9,-0.83,3.91,7.47,7.63,0.31,1.0,159.45
ITC,Infrastructure,2641,782972.0,36.88,0.19,3.94,3.49,4.87,1.14,1.04,174.68
WIPRO,Infrastructure,261,815916.0,5.0,0.66,25.34,6.36,4.54,1.43,1.6,205.0
ADANIENT,Energy,4055,1222529.0,22.94,0.85,15.31,5.48,5.69,0.22,1.19,224.13
ICICIBANK,Energy,3187,798293.0,14.6,-0.15,23.26,6.4,7.7,-1.9,0.93,174.01
ADANIENT,IT,1127,850704.0,27.7,-0.14,0.71,4.42,6.77,1.28,0.9,132.53
ITC,Infrastructure,2406,1533975.0,28.78,-0.56,7.34,6.38,5.52,-0.32,0.78,197.43
HDFCBANK,Banking,4009,453429.0,35.49,0.55,26.88,6.19,6.45,1.92,1.07,258.01
INFY,Infrastructure,4768,1289020.0,44.44,0.9,27.16,3.69,6.11,-0.01,1.09,250.28
INFY,Infrastructure,1475,1319850.0,28.18,0.1,22.17,7.2,5.4,-1.72,1.06,222.36
WIPRO,Energy,4070,1062484.0,30.92,0.19,9.32,3.14,3.82,-1.2,0.67,171.69
LT,Energy,2798,850543.0,26.73,-0.32,-1.61,8.44,6.91,-1.69,0.73,125.56
INFY,IT,615,942112.0,19.62,-0.44,3.93,7.12,4.08,1.83,0.82,162.18
LT,Banking,1903,1020351.0,38.25,0.2,12.51,3.98,4.0,-0.46,1.17,203.86
ICICIBANK,Finance,987,779032.0,13.57,-0.85,-5.28,3.71,7.98,1.59,0.93,140.72
RELIANCE,Energy,4135,790603.0,27.45,-0.72,1.88,8.49,3.33,-1.47,1.12,198.77
SBIN,Banking,3035,1051032.0,21.76,0.17,2.47,3.84,5.19,-1.26,1.26,192.29
HDFCBANK,Banking,3682,901775.0,16.02,-0.84,-0.46,6.37,5.32,1.56,1.15,152.95
ICICIBANK,IT,2790,1230874.0,7.4,-0.76,16.88,3.82,7.28,-1.33,1.05,147.15
INFY,Energy,760,1003736.0,26.34,-0.07,13.21,6.1,5.99,1.72,1.12,200.85
TCS,Infrastructure,1169,776332.0,28.11,0.22,20.9,5.75,3.03,1.57,0.72,216.68
TCS,Finance,3150,1233232.0,22.15,0.85,14.78,3.75,6.54,1.16,0.94,192.63
ICICIBANK,Finance,2972,1435101.0,31.69,-0.04,15.66,5.45,3.91,-1.46,0.85,220.16
RELIANCE,IT,1236,680851.0,33.94,-0.72,7.4,5.82,4.9,-1.03,0.99,191.25
WIPRO,Energy,453,1057692.0,21.6,0.59,-7.19,3.59,4.31,-0.56,1.17,124.54
WIPRO,Infrastructure,1160,1166865.0,39.91,0.41,-5.04,7.77,3.01,1.96,1.07,202.91
ITC,Energy,4084,872663.0,23.77,0.22,22.26,8.22,5.19,-0.77,0.93,227.02
RELIANCE,Banking,2559,874902.0,31.52,0.91,21.08,7.76,3.19,-0.83,0.94,228.79
INFY,IT,3542,792676.0,31.93,0.22,5.87,6.94,6.35,0.85,0.92,185.33
RELIANCE,Energy,1216,1105329.0,16.35,-0.86,23.54,7.03,7.81,-0.97,0.98,168.89
WIPRO,Banking,2754,678291.0,42.51,0.1,-7.02,6.44,3.32,-0.43,0.92,177.03
SBIN,Banking,1861,1120246.0,16.43,-0.59,13.59,4.96,3.97,-1.52,0.77,137.04
RELIANCE,Infrastructure,587,1038283.0,18.81,0.89,26.14,3.04,7.93,0.07,0.5,208.42
WIPRO,Infrastructure,1437,1241206.0,26.44,0.16,22.72,7.3,7.17,0.57,1.33,195.52
TCS,Banking,1337,1088637.0,40.43,-0.39,-4.62,6.03,5.03,-1.67,1.24,172.7
RELIANCE,Energy,3321,744742.0,16.01,-0.47,4.56,6.0,6.3,-1.51,1.26,166.43
SBIN,Energy,2692,1137244.0,15.19,0.01,3.93,7.61,7.31,0.63,0.86,121.09
RELIANCE,Finance,1322,696396.0,11.36,0.56,12.7,5.2,6.59,-0.47,0.82,151.16
LT,Energy,3162,803853.0,19.97,-0.6,13.03,3.54,4.57,0.2,0.99,152.5
ITC,Energy,1439,735463.0,28.29,-0.92,5.78,5.39,6.81,0.94,1.36,148.94
ICICIBANK,Finance,3977,1234200.0,11.73,-0.37,29.44,4.94,6.32,1.54,0.55,179.05
RELIANCE,IT,2583,1214246.0,26.65,-0.13,-3.69,3.34,6.77,1.21,1.06,122.56
HDFCBANK,IT,4257,817938.0,10.93,-0.69,3.08,7.23,5.66,1.71,0.71,157.02
SBIN,Banking,2840,1008177.0,20.45,-0.02,19.31,7.3,6.09,1.42,0.79,185.31
TCS,IT,3603,1032939.0,17.61,-0.52,5.96,6.9,4.43,1.35,0.73,143.47
HDFCBANK,Finance,4441,1299043.0,9.02,0.52,-2.38,3.17,5.76,-0.41,1.22,144.89
RELIANCE,Finance,1410,750256.0,14.68,-0.0,-0.95,7.73,5.12,1.16,0.67,125.66
TCS,Infrastructure,778,963733.0,19.67,-0.35,-6.9,6.18,6.11,1.33,1.01,115.5
INFY,IT,2437,1251106.0,31.26,-0.45,28.83,5.41,6.6,-1.06,1.16,221.12
ICICIBANK,Energy,2784,737269.0,48.23,0.5,2.92,6.9,3.96,0.4,0.85,240.51
ADANIENT,IT,384,1189513.0,15.13,-0.25,-4.31,5.91,4.47,-0.02,1.26,123.07
TCS,IT,40,935721.0,29.63,-0.65,-4.15,4.56,5.09,-0.79,1.2,154.71
