Sample_ID,Soil_Texture,pH_Level,Organic_Matter_Percent,Nitrogen_Content_ppm,Phosphorus_Content_ppm,Potassium_Content_ppm,Calcium_Content_ppm,Magnesium_Content_ppm,Sulfur_Content_ppm,Moisture_Content_Percent,Electrical_Conductivity_dS/m,Geographical_Region,Soil_Type
SOIL00552,Peaty,7.1,5.48,18,32,68,879,382,21,13.23,0.34,South,Neutral Soil
SOIL00553,Loamy,6.09,2.35,28,8,153,1407,344,34,15.94,2.18,East,Neutral Soil
SOIL00554,Chalky,8.33,2.59,7,9,106,1662,459,98,15.79,2.11,South,Light Soil
SOIL00555,Silty,5.21,5.2,32,20,195,1359,498,45,24.87,2.44,North,Acidic Soil
SOIL00556,Clayey,8.01,7.81,20,32,277,1150,359,82,8.61,1.68,South,Alkaline Soil
SOIL00557,Loamy,7.73,8.57,30,25,108,1811,259,55,25.85,0.9,Central,Neutral Soil
SOIL00558,Loamy,8.86,9.26,10,10,260,271,418,13,16.57,0.23,Central,Alkaline Soil
SOIL00559,Clayey,6.87,4.39,7,27,103,1046,332,64,6.14,1.03,West,Neutral Soil
SOIL00560,Loamy,5.21,2.99,40,18,236,1985,388,65,12.47,1.88,East,Acidic Soil
SOIL00561,Sandy,5.17,8.35,15,22,283,1455,499,55,10.27,0.33,East,Light Soil
SOIL00562,Clayey,4.53,2.11,46,6,298,177,14,40,6.87,0.93,Central,Acidic Soil
SOIL00563,Silty,6.39,5.09,16,21,58,966,317,34,7.3,1.08,Central,Neutral Soil
SOIL00564,Peaty,8.64,9.42,16,5,197,1730,123,59,25.05,0.65,North,Alkaline Soil
SOIL00565,Loamy,6.83,7.52,45,22,252,559,200,33,24.66,1.28,North,Neutral Soil
SOIL00566,Peaty,6.75,8.07,31,19,179,1807,54,54,16.14,0.47,East,Neutral Soil
SOIL00567,Chalky,4.88,8.32,18,32,65,491,229,12,7.85,2.29,South,Light Soil
SOIL00568,Peaty,7.94,5.76,18,8,113,460,257,79,9.55,0.12,North,Neutral Soil
SOIL00569,Peaty,7.68,1.4,23,6,288,1999,205,27,22.68,1.86,West,Neutral Soil
SOIL00570,Peaty,8.75,0.88,33,5,215,953,446,39,9.25,1.6,West,Alkaline Soil
SOIL00571,Loamy,7.37,4.96,42,31,100,1157,249,38,10.41,0.18,South,Neutral Soil
SOIL00572,Silty,7.72,6.1,44,8,71,1932,303,68,24.68,0.7,West,Neutral Soil
SOIL00573,Silty,8.26,2.0,25,9,283,1329,147,34,16.26,0.98,Central,Alkaline Soil
SOIL00574,Clayey,5.98,7.89,6,9,278,1715,386,60,27.35,1.57,West,Neutral Soil
SOIL00575,Sandy,5.45,9.57,25,28,263,524,189,19,9.02,1.83,North,Light Soil
SOIL00576,Sandy,6.84,3.29,27,17,121,1298,197,20,29.1,0.76,South,Light Soil
SOIL00577,Peaty,5.52,4.53,14,4,115,1537,347,67,17.02,2.46,North,Neutral Soil
SOIL00578,Peaty,5.05,9.8,22,39,214,1438,304,69,26.96,1.05,South,Acidic Soil
SOIL00579,Loamy,6.36,5.72,41,8,102,1416,182,19,5.84,0.12,North,Neutral Soil
SOIL00580,Clayey,4.52,7.86,8,8,63,1913,92,84,28.22,2.36,East,Acidic Soil
SOIL00581,Chalky,8.63,5.73,32,38,242,1508,484,21,17.84,1.0,Central,Light Soil
SOIL00582,Silty,6.26,5.99,6,31,230,1463,205,80,15.46,1.94,North,Neutral Soil
SOIL00583,Loamy,7.79,0.57,33,36,214,765,379,46,7.26,0.36,West,Neutral Soil
SOIL00584,Loamy,4.94,1.11,40,34,83,253,313,35,17.25,2.12,East,Acidic Soil
SOIL00585,Peaty,4.64,3.07,8,5,140,1581,26,17,21.95,1.0,East,Acidic Soil
SOIL00586,Loamy,7.65,1.32,28,16,245,1762,27,62,8.58,0.8,Central,Neutral Soil
SOIL00587,Sandy,6.34,3.01,28,18,232,985,438,75,26.23,1.6,West,Light Soil
SOIL00588,Chalky,8.4,8.58,8,35,57,1684,232,25,15.01,2.3,South,Light Soil
SOIL00589,Chalky,8.16,3.88,49,22,135,1037,282,42,13.63,1.09,West,Light Soil
SOIL00590,Silty,5.66,6.59,5,31,52,1784,16,12,10.64,2.42,East,Neutral Soil
SOIL00591,Chalky,7.12,2.63,31,31,233,439,93,26,14.98,2.19,East,Light Soil
SOIL00592,Loamy,8.93,9.97,7,32,238,1411,55,35,26.77,0.22,Central,Alkaline Soil
SOIL00593,Sandy,4.72,4.27,24,14,146,835,44,85,12.48,2.04,East,Light Soil
SOIL00594,Silty,5.75,8.83,48,16,127,1809,208,48,7.25,1.75,Central,Neutral Soil
SOIL00595,Sandy,5.79,5.87,24,27,143,760,159,82,6.87,0.33,East,Light Soil
SOIL00596,Peaty,6.93,0.54,23,20,78,1097,239,54,10.18,1.88,Central,Neutral Soil
SOIL00597,Loamy,5.98,8.78,7,14,197,1583,331,54,16.06,0.65,North,Neutral Soil
SOIL00598,Peaty,6.7,6.44,48,10,89,1428,343,72,29.43,1.04,South,Neutral Soil
SOIL00599,Silty,8.71,4.3,30,24,152,712,17,5,20.05,2.17,East,Alkaline Soil
SOIL00600,Chalky,5.75,8.79,43,13,71,1797,116,51,22.47,1.26,West,Light Soil
SOIL00601,Peaty,9.0,5.03,21,20,160,1068,23,27,5.72,1.11,South,Alkaline Soil
SOIL00602,Clayey,7.24,9.79,14,29,192,1892,95,62,7.66,1.57,South,Neutral Soil
SOIL00603,Sandy,5.31,8.13,5,17,76,381,462,88,18.41,1.15,West,Light Soil
SOIL00604,Sandy,8.3,7.87,23,19,215,317,184,50,23.54,2.32,East,Light Soil
SOIL00605,Clayey,4.61,6.59,9,37,226,1900,67,95,24.91,1.84,South,Acidic Soil
SOIL00606,Clayey,6.24,1.68,6,31,183,391,475,28,22.31,0.38,South,Neutral Soil
SOIL00607,Peaty,5.68,9.11,48,24,194,1040,439,75,9.2,1.81,East,Neutral Soil
SOIL00608,Loamy,8.65,1.1,7,37,171,1776,80,94,7.25,1.02,East,Alkaline Soil
SOIL00609,Chalky,4.51,3.6,44,9,254,773,316,15,9.29,0.67,East,Light Soil
SOIL00610,Silty,7.19,5.59,14,34,128,233,337,60,11.38,0.7,Central,Neutral Soil
SOIL00611,Loamy,6.64,5.85,33,13,124,209,384,83,23.91,1.86,South,Neutral Soil
SOIL00612,Sandy,5.29,2.29,46,11,238,1466,207,48,17.36,1.5,North,Light Soil
SOIL00613,Silty,6.2,8.61,31,18,88,1795,363,94,19.93,1.25,Central,Neutral Soil
SOIL00614,Loamy,6.44,9.89,35,12,149,1620,478,66,26.09,1.37,Central,Neutral Soil
SOIL00615,Chalky,5.15,1.85,7,6,51,590,124,49,12.75,1.98,South,Light Soil
SOIL00616,Peaty,6.56,5.62,11,21,148,780,312,94,22.82,1.77,Central,Neutral Soil
SOIL00617,Silty,7.08,0.81,10,19,121,1550,386,67,16.02,0.19,West,Neutral Soil
SOIL00618,Silty,6.26,6.76,35,5,130,1213,490,45,23.81,2.47,South,Neutral Soil
SOIL00619,Loamy,7.39,1.34,36,19,160,1700,122,61,26.1,2.09,North,Neutral Soil
SOIL00620,Clayey,8.43,4.9,22,10,84,1040,43,91,26.79,1.25,East,Alkaline Soil
SOIL00621,Peaty,6.66,6.38,21,27,182,956,34,20,12.76,1.0,Central,Neutral Soil
SOIL00622,Silty,7.44,8.0,37,39,122,575,414,12,5.38,2.26,South,Neutral Soil
SOIL00623,Sandy,8.8,8.48,7,32,145,701,274,23,29.79,0.6,Central,Light Soil
SOIL00624,Silty,5.86,3.54,35,35,251,930,325,55,23.24,2.48,North,Neutral Soil
SOIL00625,Sandy,8.9,7.39,36,22,163,111,270,20,5.61,0.64,North,Light Soil
SOIL00626,Silty,7.89,0.94,12,31,266,281,323,6,13.76,2.42,West,Neutral Soil
SOIL00627,Loamy,5.53,3.42,27,27,253,1036,476,61,11.68,2.12,North,Neutral Soil
SOIL00628,Peaty,5.74,7.64,29,18,216,1606,107,78,24.38,0.74,North,Neutral Soil
SOIL00629,Chalky,6.68,1.28,35,38,60,1367,367,5,28.29,1.09,East,Light Soil
SOIL00630,Clayey,5.15,0.74,20,32,229,334,385,61,20.44,1.36,Central,Acidic Soil
SOIL00631,Chalky,6.4,6.38,35,38,134,347,479,15,11.9,1.86,South,Light Soil
SOIL00632,Silty,7.54,7.86,10,37,114,1194,352,12,25.19,0.58,South,Neutral Soil
SOIL00633,Loamy,6.38,0.8,18,18,163,1274,109,67,8.19,1.08,North,Neutral Soil
SOIL00634,Loamy,4.85,9.58,47,23,231,807,127,89,24.04,2.37,North,Acidic Soil
SOIL00635,Chalky,6.28,8.71,36,30,95,732,328,9,15.28,2.25,West,Light Soil
SOIL00636,Peaty,6.61,5.58,48,24,296,477,364,69,10.89,1.29,West,Neutral Soil
SOIL00637,Peaty,7.19,7.77,38,7,82,639,11,87,16.7,1.72,Central,Neutral Soil
SOIL00638,Loamy,4.59,8.22,30,24,272,996,258,41,24.28,1.36,South,Acidic Soil
SOIL00639,Chalky,9.0,4.36,37,21,251,615,77,62,19.25,1.37,South,Light Soil
SOIL00640,Loamy,5.18,6.88,30,15,184,520,430,62,16.66,1.61,North,Acidic Soil
SOIL00641,Silty,4.95,1.44,35,20,99,1547,349,22,14.4,2.38,East,Acidic Soil
SOIL00642,Peaty,8.98,5.89,23,32,107,1334,85,13,17.97,1.46,Central,Alkaline Soil
SOIL00643,Silty,7.76,8.26,23,14,195,1577,40,30,20.33,1.28,West,Neutral Soil
SOIL00644,Peaty,8.31,8.96,32,29,164,917,360,84,12.82,2.41,Central,Alkaline Soil
SOIL00645,Peaty,4.76,8.89,30,25,277,1557,287,61,15.94,0.13,East,Acidic Soil
SOIL00646,Silty,7.14,6.43,37,6,257,1746,308,97,10.1,2.05,South,Neutral Soil
SOIL00647,Sandy,6.46,1.05,38,27,186,946,157,16,19.23,1.97,West,Light Soil
SOIL00648,Loamy,8.13,0.67,16,22,76,837,153,88,14.03,1.95,North,Alkaline Soil
SOIL00649,Clayey,6.94,5.03,43,4,131,1241,410,40,14.32,0.96,East,Neutral Soil
SOIL00650,Sandy,6.52,4.3,49,23,151,1142,124,69,19.5,2.0,East,Light Soil
SOIL00651,Clayey,6.28,8.96,45,18,244,941,82,40,27.62,1.88,North,Neutral Soil
SOIL00652,Clayey,6.98,6.53,39,28,50,1131,234,77,12.6,1.7,Central,Neutral Soil
SOIL00653,Silty,8.22,1.72,8,25,135,1444,432,50,21.16,0.31,East,Alkaline Soil
SOIL00654,Sandy,5.59,9.58,34,6,252,1418,33,23,23.42,0.6,West,Light Soil
SOIL00655,Sandy,6.08,3.48,5,16,203,289,452,16,29.03,2.2,East,Light Soil
SOIL00656,Silty,6.31,6.54,23,19,131,425,427,7,27.46,0.12,South,Neutral Soil
SOIL00657,Peaty,8.63,2.06,41,20,180,685,192,8,25.31,1.19,South,Alkaline Soil
SOIL00658,Loamy,6.28,5.69,33,20,63,728,58,79,22.08,0.73,South,Neutral Soil
SOIL00659,Sandy,5.06,0.61,38,31,161,929,87,15,26.89,2.27,South,Light Soil
SOIL00660,Loamy,5.53,3.81,23,15,279,1264,467,80,10.52,1.43,Central,Neutral Soil
SOIL00661,Peaty,5.7,3.41,16,15,188,1809,198,6,18.21,0.2,East,Neutral Soil
SOIL00662,Clayey,7.32,5.24,10,9,163,1673,17,63,5.54,1.87,Central,Neutral Soil
SOIL00663,Clayey,5.83,1.7,32,39,293,288,21,78,11.42,0.98,South,Neutral Soil
SOIL00664,Peaty,4.56,1.88,37,32,88,429,36,35,17.59,2.44,South,Acidic Soil
SOIL00665,Sandy,8.16,3.07,29,28,284,1059,474,55,14.71,1.0,East,Light Soil
SOIL00666,Clayey,8.46,9.07,24,30,80,353,435,34,19.53,1.12,East,Alkaline Soil
SOIL00667,Silty,6.53,5.84,8,19,195,1491,190,24,5.88,0.24,West,Neutral Soil
SOIL00668,Silty,5.39,1.25,34,35,81,286,123,14,9.72,0.49,South,Acidic Soil
SOIL00669,Silty,4.5,5.75,15,20,98,602,201,99,14.4,1.99,East,Acidic Soil
SOIL00670,Chalky,6.78,3.29,33,17,250,1752,78,17,10.19,1.82,West,Light Soil
SOIL00671,Loamy,7.81,7.05,46,28,129,1699,497,34,13.16,1.31,South,Neutral Soil
SOIL00672,Chalky,7.89,3.42,38,29,128,1728,460,86,26.12,0.34,East,Light Soil
SOIL00673,Silty,8.96,0.87,16,3,117,567,374,94,16.38,2.3,Central,Alkaline Soil
SOIL00674,Peaty,7.04,7.63,33,36,176,1346,58,91,20.19,0.21,West,Neutral Soil
SOIL00675,Silty,7.33,9.41,46,6,280,1267,285,89,11.68,1.05,South,Neutral Soil
SOIL00676,Sandy,8.43,0.66,18,30,98,311,97,32,22.24,0.76,North,Light Soil
SOIL00677,Sandy,8.8,1.15,35,7,265,928,88,78,18.66,1.98,East,Light Soil
SOIL00678,Chalky,8.21,9.27,15,10,229,994,322,57,7.65,1.86,West,Light Soil
SOIL00679,Peaty,6.26,4.22,45,20,114,1621,229,63,26.38,2.35,Central,Neutral Soil
SOIL00680,Silty,5.04,1.95,47,12,286,1253,327,81,17.86,0.82,North,Acidic Soil
SOIL00681,Loamy,8.92,4.63,19,9,124,455,450,22,15.58,0.84,East,Alkaline Soil
SOIL00682,Silty,6.93,6.0,10,12,66,1569,373,9,25.0,1.13,East,Neutral Soil
SOIL00683,Chalky,5.02,1.49,27,10,168,1326,122,67,17.75,0.84,East,Light Soil
SOIL00684,Sandy,7.38,2.37,6,22,63,1431,357,47,27.6,0.17,South,Light Soil
SOIL00685,Sandy,8.39,5.34,39,3,297,1678,76,87,24.76,2.0,East,Light Soil
SOIL00686,Loamy,8.02,6.67,20,32,114,399,297,45,28.08,1.39,East,Alkaline Soil
SOIL00687,Silty,7.38,2.42,29,33,232,419,81,62,18.87,0.84,South,Neutral Soil
SOIL00688,Chalky,6.68,0.69,7,38,215,1317,224,71,18.8,1.39,North,Light Soil
SOIL00689,Chalky,7.4,8.15,39,38,237,1548,125,69,23.23,1.13,East,Light Soil
SOIL00690,Peaty,8.15,8.74,34,16,213,1243,314,87,13.39,0.41,West,Alkaline Soil
SOIL00691,Sandy,4.67,9.94,15,6,142,612,265,68,15.27,2.3,East,Light Soil
SOIL00692,Clayey,5.64,9.02,35,16,85,1463,377,5,15.79,1.52,West,Neutral Soil
SOIL00693,Silty,7.3,3.94,19,16,185,525,127,46,20.27,0.74,East,Neutral Soil
SOIL00694,Silty,4.59,9.15,42,5,284,1403,373,26,7.94,0.7,East,Acidic Soil
SOIL00695,Chalky,6.3,8.25,32,38,274,1284,377,88,5.79,1.9,South,Light Soil
SOIL00696,Clayey,6.64,5.93,31,11,79,1352,326,78,25.21,1.23,East,Neutral Soil
SOIL00697,Clayey,8.64,5.08,6,12,251,749,318,44,25.2,0.55,West,Alkaline Soil
SOIL00698,Chalky,8.51,0.68,34,35,162,1934,297,36,21.63,2.37,East,Light Soil
SOIL00699,Sandy,7.74,7.34,5,6,64,145,88,45,13.46,0.88,North,Light Soil
SOIL00700,Sandy,7.41,3.43,38,38,299,254,454,19,12.8,1.75,East,Light Soil
SOIL00701,Clayey,6.25,5.8,41,18,217,1339,20,68,17.69,2.37,South,Neutral Soil
SOIL00702,Silty,8.44,3.22,11,14,273,763,241,94,8.68,1.53,East,Alkaline Soil
SOIL00703,Silty,5.8,7.53,6,5,237,671,305,87,15.49,0.18,Central,Neutral Soil
SOIL00704,Loamy,8.12,4.36,29,4,274,838,414,68,8.19,0.89,West,Alkaline Soil
SOIL00705,Peaty,4.81,3.1,43,9,171,161,117,22,21.69,1.47,Central,Acidic Soil
SOIL00706,Sandy,5.49,9.56,17,18,201,1223,283,95,6.09,0.15,West,Light Soil
SOIL00707,Clayey,8.77,5.42,17,23,170,598,13,34,16.27,1.45,North,Alkaline Soil
SOIL00708,Chalky,8.88,2.08,30,30,167,1280,87,15,22.39,0.96,North,Light Soil
SOIL00709,Sandy,4.67,1.68,32,15,208,1931,57,56,16.5,2.14,North,Light Soil
SOIL00710,Peaty,6.9,8.44,37,8,204,1512,94,50,22.04,2.13,Central,Neutral Soil
SOIL00711,Silty,5.55,5.59,30,27,159,688,249,63,21.87,0.17,South,Neutral Soil
SOIL00712,Clayey,7.01,1.95,16,6,235,839,299,15,26.44,0.94,Central,Neutral Soil
SOIL00713,Sandy,7.39,5.92,26,14,261,880,204,9,8.5,1.72,East,Light Soil
SOIL00714,Loamy,8.19,2.84,37,31,86,1592,366,58,21.04,0.51,East,Alkaline Soil
SOIL00715,Clayey,7.4,3.19,29,33,125,1078,493,99,6.89,2.35,West,Neutral Soil
SOIL00716,Clayey,8.17,8.53,15,9,135,440,262,57,10.5,1.0,West,Alkaline Soil
SOIL00717,Chalky,8.0,9.68,7,13,144,1892,324,90,6.48,1.81,Central,Light Soil
SOIL00718,Loamy,7.9,6.49,39,15,151,467,465,50,8.66,2.27,West,Neutral Soil
SOIL00719,Loamy,4.84,4.17,35,22,299,1169,229,79,16.75,0.44,Central,Acidic Soil
SOIL00720,Loamy,8.69,1.29,9,10,128,1024,345,56,21.12,1.94,Central,Alkaline Soil
SOIL00721,Loamy,5.61,0.6,10,18,132,1435,496,57,28.1,1.69,South,Neutral Soil
SOIL00722,Sandy,7.51,6.34,12,32,141,1004,173,66,24.41,0.86,North,Light Soil
SOIL00723,Peaty,6.15,2.69,47,22,178,1527,327,41,13.31,1.9,East,Neutral Soil
SOIL00724,Clayey,6.04,0.89,13,5,104,303,422,42,24.59,1.78,East,Neutral Soil
SOIL00725,Chalky,7.76,0.93,13,28,226,288,289,18,18.34,1.42,South,Light Soil
SOIL00726,Peaty,5.02,9.31,44,13,222,1135,486,67,13.79,1.01,North,Acidic Soil
SOIL00727,Loamy,5.23,7.64,36,35,116,1052,470,84,17.65,0.15,West,Acidic Soil
SOIL00728,Loamy,6.73,3.62,17,12,186,1907,398,32,11.89,1.15,Central,Neutral Soil
SOIL00729,Loamy,7.87,1.06,13,19,112,1166,357,73,22.91,1.05,East,Neutral Soil
SOIL00730,Loamy,7.49,9.45,10,4,107,335,234,10,9.41,2.5,Central,Neutral Soil
SOIL00731,Chalky,5.24,7.66,7,11,298,650,352,72,17.81,1.74,South,Light Soil
SOIL00732,Chalky,5.35,1.34,28,22,74,545,406,53,16.36,0.95,West,Light Soil
SOIL00733,Sandy,5.62,9.27,49,31,218,1760,312,62,28.59,1.42,South,Light Soil
SOIL00734,Chalky,8.16,1.83,39,18,58,415,192,41,16.35,1.65,East,Light Soil
SOIL00735,Silty,5.62,5.44,5,34,146,1536,68,42,12.89,1.89,Central,Neutral Soil
SOIL00736,Sandy,8.74,9.09,5,5,227,553,322,40,29.38,0.77,North,Light Soil
SOIL00737,Loamy,5.46,6.11,36,17,219,424,384,19,21.77,0.74,Central,Acidic Soil
SOIL00738,Sandy,6.37,0.69,15,39,262,840,387,87,5.54,0.76,Central,Light Soil
SOIL00739,Clayey,8.89,9.08,18,26,54,895,493,46,25.87,0.57,South,Alkaline Soil
SOIL00740,Chalky,5.14,8.28,35,6,79,1695,170,68,18.02,2.49,North,Light Soil
SOIL00741,Peaty,4.79,5.71,40,30,82,1689,198,74,6.84,0.65,South,Acidic Soil
SOIL00742,Loamy,8.89,8.04,22,5,271,196,438,25,24.55,1.66,East,Alkaline Soil
SOIL00743,Clayey,8.13,0.57,16,8,269,1736,135,46,27.75,2.03,East,Alkaline Soil
SOIL00744,Peaty,7.04,9.81,13,4,108,1295,96,82,10.88,0.92,East,Neutral Soil
SOIL00745,Sandy,5.45,9.0,31,13,145,888,182,40,6.67,1.58,East,Light Soil
SOIL00746,Chalky,8.07,7.54,46,22,261,829,117,89,19.19,0.51,North,Light Soil
SOIL00747,Peaty,7.57,4.63,17,23,162,637,385,46,7.33,0.68,West,Neutral Soil
SOIL00748,Chalky,5.35,8.61,12,18,89,263,482,23,12.25,1.47,South,Light Soil
SOIL00749,Sandy,4.73,1.47,37,12,101,917,357,97,7.95,1.36,West,Light Soil
SOIL00750,Peaty,7.77,5.22,13,20,105,484,268,64,7.55,1.67,South,Neutral Soil
SOIL00751,Loamy,8.85,3.21,31,25,56,1420,142,56,26.68,2.14,West,Alkaline Soil
SOIL00752,Loamy,4.75,4.11,7,4,138,743,302,45,7.36,0.69,North,Acidic Soil
SOIL00753,Sandy,8.93,5.82,8,28,100,545,17,34,10.13,0.55,East,Light Soil
SOIL00754,Peaty,6.79,3.16,21,20,114,752,471,9,23.69,0.87,East,Neutral Soil
SOIL00755,Sandy,6.85,0.92,14,24,65,1197,292,98,7.38,2.33,Central,Light Soil
SOIL00756,Loamy,8.4,6.37,35,8,283,630,414,76,12.16,0.85,Central,Alkaline Soil
SOIL00757,Silty,5.42,3.93,8,4,125,1141,123,62,24.32,1.48,Central,Acidic Soil
SOIL00758,Loamy,8.12,7.74,26,35,187,1119,74,52,15.51,0.55,Central,Alkaline Soil
SOIL00759,Silty,6.62,4.52,33,25,56,1602,323,89,7.32,2.43,South,Neutral Soil
SOIL00760,Chalky,4.99,6.39,27,14,244,382,95,20,9.8,1.66,East,Light Soil
SOIL00761,Silty,7.56,2.03,25,12,87,1710,475,78,21.16,1.67,Central,Neutral Soil
SOIL00762,Sandy,7.52,8.26,10,12,288,1860,69,59,27.26,0.21,West,Light Soil
SOIL00763,Chalky,7.42,9.27,44,3,297,170,317,60,25.23,1.98,East,Light Soil
SOIL00764,Silty,8.91,3.56,6,21,212,1563,364,26,13.51,2.16,South,Alkaline Soil
SOIL00765,Clayey,7.35,7.08,28,39,145,942,460,88,20.71,1.36,Central,Neutral Soil
SOIL00766,Silty,4.73,3.59,10,6,98,170,486,14,15.22,2.26,West,Acidic Soil
SOIL00767,Loamy,5.75,0.95,42,3,177,1093,43,82,23.97,0.66,South,Neutral Soil
SOIL00768,Chalky,5.61,1.93,34,7,248,1818,258,86,16.82,1.2,North,Light Soil
SOIL00769,Sandy,7.34,8.16,28,8,264,1302,391,34,13.04,1.68,North,Light Soil
SOIL00770,Loamy,8.17,3.68,24,28,286,1509,393,39,11.94,2.35,South,Alkaline Soil
SOIL00771,Peaty,7.12,2.65,44,16,141,1168,221,67,9.86,0.23,West,Neutral Soil
SOIL00772,Loamy,4.92,10.0,29,6,297,478,387,91,18.48,0.66,West,Acidic Soil
SOIL00773,Clayey,8.44,6.86,39,21,53,590,406,74,27.22,1.15,North,Alkaline Soil
SOIL00774,Peaty,8.71,7.33,26,13,127,1112,378,39,21.99,1.21,North,Alkaline Soil
SOIL00775,Silty,6.06,3.59,24,25,103,426,237,31,13.42,0.93,West,Neutral Soil
SOIL00776,Peaty,8.11,6.37,49,35,80,536,205,73,18.45,1.25,Central,Alkaline Soil
SOIL00777,Silty,8.71,5.66,19,37,298,430,65,31,10.32,0.44,West,Alkaline Soil
SOIL00778,Loamy,7.04,0.85,15,25,59,1109,403,9,17.52,0.39,Central,Neutral Soil
SOIL00779,Sandy,6.76,8.35,37,10,273,741,34,51,29.91,0.33,West,Light Soil
SOIL00780,Sandy,7.6,2.16,11,35,163,767,490,22,19.61,1.36,Central,Light Soil
SOIL00781,Loamy,5.13,5.76,9,21,112,1662,458,60,19.26,2.4,West,Acidic Soil
SOIL00782,Clayey,5.69,7.91,24,33,125,370,159,27,5.37,1.54,Central,Neutral Soil
SOIL00783,Silty,4.62,7.24,18,14,113,517,313,45,24.81,1.55,South,Acidic Soil
SOIL00784,Loamy,6.09,3.53,44,33,70,246,118,52,26.82,0.97,West,Neutral Soil
SOIL00785,Sandy,5.2,7.81,32,24,178,232,63,80,17.53,0.73,North,Light Soil
SOIL00786,Peaty,7.45,6.92,19,9,243,296,73,28,23.44,1.83,West,Neutral Soil
SOIL00787,Loamy,8.83,8.84,45,13,281,1577,384,98,11.26,1.18,West,Alkaline Soil
SOIL00788,Silty,4.68,3.62,20,12,82,1564,72,33,29.85,0.99,West,Acidic Soil
SOIL00789,Silty,8.86,8.67,42,16,194,300,335,58,12.76,0.37,South,Alkaline Soil
SOIL00790,Loamy,7.97,8.64,18,8,210,1476,43,69,8.68,2.1,East,Neutral Soil
SOIL00791,Sandy,5.75,8.64,30,10,266,172,22,70,27.51,1.91,South,Light Soil
SOIL00792,Loamy,6.75,6.34,9,22,280,1394,286,53,10.63,0.14,East,Neutral Soil
SOIL00793,Silty,7.41,5.41,14,37,206,1868,376,13,24.19,1.39,East,Neutral Soil
SOIL00794,Peaty,7.86,5.66,30,23,136,164,200,61,22.42,2.03,West,Neutral Soil
SOIL00795,Clayey,6.28,9.23,20,38,195,705,200,63,26.89,2.21,South,Neutral Soil
SOIL00796,Peaty,8.7,1.94,35,33,119,1543,292,96,5.68,0.16,South,Alkaline Soil
SOIL00797,Silty,5.96,2.8,49,24,83,196,408,46,7.36,0.39,North,Neutral Soil
SOIL00798,Clayey,7.01,1.73,48,24,191,201,10,62,9.55,0.57,Central,Neutral Soil
SOIL00799,Silty,8.37,4.14,22,7,73,293,68,15,22.76,0.32,Central,Alkaline Soil
SOIL00800,Silty,5.7,3.56,48,7,195,376,285,13,15.16,0.66,West,Neutral Soil
SOIL00801,Chalky,4.84,4.94,40,27,268,1563,92,65,11.39,2.33,South,Light Soil
SOIL00802,Loamy,8.45,7.94,49,24,101,473,116,15,5.33,0.22,South,Alkaline Soil
SOIL00803,Sandy,8.59,2.75,14,21,276,1041,237,39,26.76,0.3,Central,Light Soil
SOIL00804,Clayey,5.62,0.6,15,7,196,252,484,73,29.39,1.97,Central,Neutral Soil
SOIL00805,Loamy,6.61,5.52,11,29,270,274,214,83,22.8,0.81,Central,Neutral Soil
SOIL00806,Peaty,6.24,3.43,31,20,123,234,59,86,29.81,2.41,East,Neutral Soil
SOIL00807,Clayey,7.39,5.95,13,36,131,1320,434,25,13.85,0.69,East,Neutral Soil
SOIL00808,Sandy,8.87,1.1,19,28,60,1008,19,21,9.6,0.63,West,Light Soil
SOIL00809,Sandy,8.5,7.52,26,31,243,156,322,30,26.7,1.95,South,Light Soil
SOIL00810,Clayey,8.95,9.94,7,39,198,111,220,91,10.05,0.33,South,Alkaline Soil
SOIL00811,Sandy,8.8,8.71,10,39,79,1851,497,12,25.9,1.75,West,Light Soil
SOIL00812,Peaty,7.93,3.09,40,3,89,292,304,79,26.11,2.16,East,Neutral Soil
SOIL00813,Silty,7.03,7.9,27,11,187,1376,134,45,11.7,2.04,South,Neutral Soil
SOIL00814,Silty,5.39,7.4,27,5,134,1529,304,19,8.69,0.99,East,Acidic Soil
SOIL00815,Chalky,6.33,3.61,36,25,101,827,73,55,21.3,0.31,South,Light Soil
SOIL00816,Clayey,7.31,2.19,19,15,184,1447,279,84,24.61,1.1,South,Neutral Soil
SOIL00817,Loamy,4.9,2.13,14,34,175,535,114,92,22.06,0.65,West,Acidic Soil
SOIL00818,Peaty,7.25,5.25,31,14,147,764,348,13,25.79,2.37,North,Neutral Soil
SOIL00819,Chalky,4.54,9.54,22,25,186,1712,54,75,21.56,1.48,South,Light Soil
SOIL00820,Chalky,7.86,3.93,12,24,108,855,453,37,14.33,1.33,Central,Light Soil
SOIL00821,Chalky,7.4,4.41,26,18,246,1686,463,15,6.64,0.13,West,Light Soil
SOIL00822,Peaty,6.84,6.65,20,15,140,1444,440,12,17.22,1.0,Central,Neutral Soil
SOIL00823,Silty,8.48,7.39,35,21,195,1805,401,45,28.86,0.56,West,Alkaline Soil
SOIL00824,Silty,7.02,4.68,12,27,81,599,295,62,18.87,2.42,West,Neutral Soil
SOIL00825,Sandy,8.9,6.05,40,36,211,660,460,91,28.72,0.76,West,Light Soil
SOIL00826,Clayey,4.95,3.8,26,7,127,1309,272,72,29.57,0.83,South,Acidic Soil
SOIL00827,Clayey,7.04,0.99,39,36,187,1662,49,35,12.85,1.93,East,Neutral Soil
